node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,66,0.000260688216892596,151099.098580301,1,5,0.0100391423216453,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
2,20,0.000219202104340202,27358.3779498901,0.221512075565669,5,0.00312387652674263,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
3,45,0.000245338567222767,87300.5151294359,0.59712925800155,5,0.00691436472929862,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
4,29,0.00022583559168925,43985.1803215401,0.301294497328024,5,0.00450027867274216,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
5,56,0.000257731958762887,134193.008019919,0.808952506593781,5,0.00850221643680217,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
6,37,0.000228623685413809,52797.6240269471,0.391696329674481,5,0.00576216702379462,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
7,45,0.000233535730966838,62228.3306213439,0.457030971166046,5,0.00702324477920289,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
8,71,0.000257267815796244,153565.132024991,0.959692736115636,5,0.0109792928138744,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
9,2,0.000200400801603206,1045.85529975963,0.124997734968436,5,0.000370959202359092,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
10,12,0.000203915171288744,11081.6701579598,0.149075218884131,6,0.00192713409758347,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
11,20,0.000204960032793605,19671.5429699916,0.136195963758167,6,0.00323428456046451,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
12,8,0.000186880956830499,5605.50913809687,0.0623108725954677,6,0.00136316650668638,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
13,11,0.000207339829981339,13990.4071099333,0.133171258020112,6,0.00169078071729433,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
14,41,0.000222074172773706,59346.7708566447,0.270615805439781,5,0.00639809123652826,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
15,20,0.000212947189097104,24073.3742559628,0.22762908663557,5,0.0031653321612884,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
16,18,0.000212494687632809,22227.8342161455,0.162298606531224,5,0.00283304059789555,1400,2796,3.99428571428571,71,4.24425610129684,0.0152322924600152,8,0.0028551005820484,-0.107473475631418,4.24425610129684,420,3
