node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,18,0.000124875124875125,661494,1,13,0.0050732853818649,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
2,14,0.000107968041459728,97480,0.398557056844657,14,0.00419378503056071,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
3,2,0.000106496272630458,11128,0.201855393564178,14,0.000633589174804881,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
4,10,0.000121124031007752,489421,0.444628850150261,13,0.00294297446898353,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
5,16,0.000108201687946332,110905,0.487490770700265,14,0.00464863517290838,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
6,21,0.000116795141322121,562238,0.571322585261426,14,0.00597301948325555,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
7,18,0.000119875329657157,552173,0.823323748842743,14,0.00504678107063018,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
8,12,0.000107968041459728,96657,0.339164789892689,14,0.00366175161891344,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
9,13,0.000109385254867644,337096,0.328883378755386,15,0.00386879282224817,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
10,7,0.000101112234580384,48227,0.147486642332189,15,0.00205692117853254,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
11,8,0.00010690613641223,334180,0.161809231452613,15,0.00248833958163457,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
12,14,9.99800039992002e-05,327895,0.145112505638593,16,0.00398389802986403,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
13,13,9.8405825624877e-05,352544,0.0785408501546725,16,0.00386385914027085,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
14,5,0.000103199174406605,34523,0.189262168898087,15,0.00150064903676863,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
15,7,0.000100603621730382,13929,0.142539676151678,15,0.00224818305775357,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
16,5,8.79662209711471e-05,22199,0.0332767605672496,17,0.00155838102894356,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
17,6,9.47508053818458e-05,72253,0.0846328389951703,15,0.0017743303693229,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
18,5,9.04159132007233e-05,19447,0.0432411437932526,16,0.0015747348916638,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
19,7,9.43396226415094e-05,41420,0.102796871396705,15,0.00212249144925107,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
20,5,0.000103263114415531,38601,0.18902094915587,15,0.00150586041416954,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
21,9,0.000104471374843293,113145,0.238231046985749,15,0.00259664010841036,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
22,14,0.000103584006629376,59055,0.325559239383835,15,0.0042889448956708,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
23,8,9.06947215672048e-05,18080,0.0857127402228066,16,0.0026114866623164,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
24,20,8.81834215167549e-05,145950,0.0621850191004586,17,0.00607143823053528,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
25,8,8.84329678103997e-05,62670,0.0384573970747381,17,0.00247617546688745,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
26,5,8.86682035821954e-05,181594,0.0184099161291143,17,0.00148431775166736,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
27,1,7.85052598524101e-05,0,0.0120010443560507,18,0.000365178981940717,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
28,11,7.92141951837769e-05,77847,0.0200904164912674,18,0.00324734638198965,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
29,3,9.4948727687049e-05,5583,0.0688022897776401,16,0.0010082979145835,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
30,5,8.0141048244911e-05,129355,0.0045736402341667,18,0.00153140459324971,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
31,4,8.05542129853391e-05,6978,0.0186830224455419,17,0.001378044336178,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
32,9,8.40336134453782e-05,35969,0.02375567966038,16,0.00275556349161682,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
33,6,0.000103755965968043,11152,0.106023332292633,14,0.00197092544995926,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
34,7,0.000102438024994878,129711,0.147803863004928,15,0.00210136319482354,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
35,11,9.10249408337885e-05,116827,0.0483802092011778,16,0.00323343981421799,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
36,5,7.52785305630834e-05,9761,0.00540584372957351,17,0.0016555419069371,1400,1399,1.99857142857143,21,9.98888389666088,0,25,0.00142857142857143,-0.0940956167511097,9.98888389666088,0,0
