node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,18,0.000115420129270545,758930,1,14,0.00472556470442161,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
2,14,9.98801438274071e-05,108916,0.396403513263429,15,0.00390407295096533,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
3,2,9.85610092647349e-05,11928,0.200978881809382,15,0.000590822109286106,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
4,10,0.000112007168458781,562150,0.429147121163372,15,0.00273463871732907,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
5,17,0.000100180324584252,130317,0.531411294047641,15,0.00460742239046001,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
6,21,0.000108061378863194,648241,0.528195707746626,16,0.00554425574968334,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
7,18,0.000110840168477056,632625,0.822412489661885,14,0.00470328900067569,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
8,12,9.9940035978413e-05,112116,0.336736423902682,15,0.00340575160072339,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
9,13,0.000101317122593718,391367,0.326406396540175,15,0.00359621305169746,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
10,7,9.36504963476306e-05,54641,0.135727462742684,17,0.00191420221710861,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
11,8,9.8872849515523e-05,378624,0.149445689772356,17,0.00231925679628244,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
12,14,9.27299703264095e-05,380346,0.142549229780238,16,0.00370097064171057,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
13,13,9.09918107370337e-05,399474,0.0757515859789646,18,0.00360185447950316,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
14,5,9.55109837631328e-05,37023,0.188006865172609,15,0.001400067832362,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
15,7,9.31966449207829e-05,16414,0.131219113092693,17,0.00208745386799932,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
16,5,8.16326530612245e-05,23799,0.032509730050272,17,0.00145269020734105,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
17,6,8.78117316473481e-05,84663,0.0838197276692714,16,0.00164791735023726,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
18,5,8.3752093802345e-05,20847,0.0427216992963375,16,0.00146958617518067,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
19,7,8.73515024458421e-05,45881,0.101549145472926,16,0.00197634187400515,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
20,5,9.56205775482884e-05,45771,0.187797233052628,15,0.00140150441770154,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
21,9,9.66930961129375e-05,128519,0.236705120463461,15,0.00240879767070041,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
22,15,9.58772770853308e-05,66262,0.348337836004484,15,0.00429105765621436,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
23,8,8.40194925222652e-05,19380,0.0910840390219686,16,0.0024376623561365,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
24,21,8.15793767335618e-05,163794,0.0688855211019308,19,0.00594408477709647,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
25,8,8.21152898669732e-05,75781,0.0375885623085473,17,0.00229329178068433,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
26,5,8.20209973753281e-05,204711,0.0176563999356916,19,0.00138306259393291,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
27,1,7.26955510322768e-05,0,0.013242063875554,20,0.000340593907644488,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
28,11,7.33137829912023e-05,84980,0.0220412974531825,20,0.00302795555227615,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
29,4,8.80436696601514e-05,7477,0.0708042496908276,16,0.00124901429306046,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
30,5,7.4150971377725e-05,143170,0.00435260033933163,20,0.00142811995859035,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
31,4,7.46825989544436e-05,7478,0.0197554757043279,17,0.0012862291271158,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
32,10,7.79544745868413e-05,42973,0.0247293652541175,17,0.00285919240832963,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
33,6,9.60799385088394e-05,13441,0.101916668532318,16,0.00181711317724232,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
34,7,9.48586605957124e-05,147447,0.13574876278284,17,0.00195778901224896,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
35,11,8.43597098025983e-05,133827,0.0442852814078186,18,0.00300851424096842,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
36,5,6.98714365567356e-05,10461,0.00559735533365599,18,0.0015454410478276,1500,1499,1.99866666666667,21,10.1018367800756,0,27,0.00133333333333333,-0.0956154571988548,10.1018367800756,0,0
