node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,31,0.00013005592404734,635725,1,12,0.00827373340506527,1500,1499,1.99866666666667,31,8.82137513898154,0,20,0.00133333333333333,-0.0648273640038215,8.82137513898154,0,0
2,21,0.000137646249139711,791243,0.517706119850528,11,0.00548915130186957,1500,1499,1.99866666666667,31,8.82137513898154,0,20,0.00133333333333333,-0.0648273640038215,8.82137513898154,0,0
3,22,0.000131908719166337,653327,0.237942121880344,10,0.00594669763889915,1500,1499,1.99866666666667,31,8.82137513898154,0,20,0.00133333333333333,-0.0648273640038215,8.82137513898154,0,0
4,7,0.000114929318469141,250752,0.0481250640466928,11,0.00195998744982854,1500,1499,1.99866666666667,31,8.82137513898154,0,20,0.00133333333333333,-0.0648273640038215,8.82137513898154,0,0
5,8,0.000115807759119861,93209,0.109044978181899,12,0.00219784013821703,1500,1499,1.99866666666667,31,8.82137513898154,0,20,0.00133333333333333,-0.0648273640038215,8.82137513898154,0,0
6,2,0.000110387459984546,14890,0.041015844044938,11,0.000598530637567939,1500,1499,1.99866666666667,31,8.82137513898154,0,20,0.00133333333333333,-0.0648273640038215,8.82137513898154,0,0
7,18,0.000117247039512252,355183,0.0854966123488372,11,0.00490897436647888,1500,1499,1.99866666666667,31,8.82137513898154,0,20,0.00133333333333333,-0.0648273640038215,8.82137513898154,0,0
8,18,0.000103723680116171,266427,0.0306066801208534,12,0.00484844580563961,1500,1499,1.99866666666667,31,8.82137513898154,0,20,0.00133333333333333,-0.0648273640038215,8.82137513898154,0,0
9,3,9.00009000090001e-05,20803,0.00540787484263295,13,0.000880272088220906,1500,1499,1.99866666666667,31,8.82137513898154,0,20,0.00133333333333333,-0.0648273640038215,8.82137513898154,0,0
10,2,0.000110168557893577,1498,0.0407317797072183,11,0.000649328802210976,1500,1499,1.99866666666667,31,8.82137513898154,0,20,0.00133333333333333,-0.0648273640038215,8.82137513898154,0,0
11,5,0.000111074086415639,55750,0.0450699046692265,11,0.00143016745670542,1500,1499,1.99866666666667,31,8.82137513898154,0,20,0.00133333333333333,-0.0648273640038215,8.82137513898154,0,0
12,6,0.000101430165331169,230856,0.00964006810901017,12,0.00168644293548814,1500,1499,1.99866666666667,31,8.82137513898154,0,20,0.00133333333333333,-0.0648273640038215,8.82137513898154,0,0
13,10,0.000112271247333558,197307,0.235562381172282,13,0.00267960944622641,1500,1499,1.99866666666667,31,8.82137513898154,0,20,0.00133333333333333,-0.0648273640038215,8.82137513898154,0,0
