node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,24,0.000138561729250381,697322,0.713166944094787,10,0.00632867725383691,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
2,32,0.000125960448419196,491156,1,11,0.00862614462325103,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
3,23,0.000116890707188778,116141,0.299393548248475,11,0.00658738765616739,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
4,3,0.000106078285774902,7474,0.172030804074066,12,0.000912769544367491,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
5,15,0.000107469102632993,96130,0.26500807718144,12,0.00426603071851643,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
6,24,0.000141703273345614,825331,0.455811323747016,10,0.00617121288970324,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
7,26,0.000125643925116221,396292,0.267120638275859,11,0.00686095196329551,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
8,2,0.000105764145954521,1498,0.0446670849258619,12,0.000640783330953304,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
9,12,0.000115353558657285,34158,0.164561440729843,11,0.0035268077074113,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
10,9,0.000106940434178163,77701,0.0561634246335564,12,0.00248040295590133,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
11,10,9.3101201005493e-05,45884,0.0571085273914586,13,0.00287259663257688,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
12,7,0.000117384669562155,26765,0.0885537322879871,11,0.00202833049953343,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
13,10,0.000122684333210649,266135,0.10021820854148,11,0.00277386681806007,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
14,8,0.000109421162052741,204350,0.202990534195831,12,0.00219844629936755,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
15,4,9.2378752886836e-05,17889,0.00999879879405931,13,0.00117542370067753,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
16,8,0.000106168383055526,13444,0.200213032078574,12,0.00245748843790538,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
17,1,0.000116890707188778,0,0.0741996034854763,11,0.000318563789843835,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
18,7,9.62556550197324e-05,172529,0.0409562844443632,13,0.00191873887395594,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
19,20,8.56384345294168e-05,151357,0.0141230341138008,14,0.00543388051446906,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
20,3,9.95123892924669e-05,2995,0.0514645534981308,12,0.000990572865182159,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
21,2,0.000105764145954521,1498,0.0446670849258619,12,0.000640783330953304,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
22,8,0.000115780942456872,57490,0.144542642143572,11,0.00222463481875812,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
23,15,0.000107631040792164,246753,0.0269813067274212,12,0.00407532303648737,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
24,15,0.000118666192001899,93522,0.120483726196212,11,0.00419172503089899,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
25,7,7.60167236792094e-05,14925,0.00274392057592682,15,0.00214520848169409,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
26,8,0.000106598443662723,41415,0.200828658686427,12,0.00232468168071754,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
27,10,0.00011937447773666,128243,0.0987307540737741,11,0.00266990000054006,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
28,4,9.22424130615257e-05,5985,0.00993998207703623,13,0.00126136307673144,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
29,5,0.00010680337498665,54387,0.18340276677039,12,0.00140326066362982,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
30,15,0.000107492206815006,111772,0.0720800484681444,12,0.00417903391836765,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
31,4,9.21743939533598e-05,8969,0.0324853957956531,13,0.00122964156320447,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
32,6,0.00010653030787259,36991,0.190028957186117,12,0.0017549940038069,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
33,5,0.000115061557933494,17881,0.130306855785793,11,0.00147419236473357,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
34,5,0.000106168383055526,13435,0.182706102764822,12,0.00150436373557878,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
35,1,9.19202132548948e-05,0,0.032692050562841,13,0.000346997428576332,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
36,5,9.25154963456379e-05,38482,0.0336422049399263,13,0.00143083376114486,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
37,4,9.41885655081473e-05,14913,0.0360173234237069,13,0.00119282660301655,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
38,1,7.59013282732448e-05,0,0.00229902917426739,15,0.000330939921865008,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
39,11,9.31185399012944e-05,45867,0.0161333762332874,13,0.00318906683294603,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
40,5,0.000117082308863131,10461,0.0832021774072616,11,0.00150356576504038,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
41,11,9.43663300934227e-05,137641,0.00615380986723748,13,0.00299707485007917,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
42,11,9.98502246630055e-05,28274,0.0666464847669383,12,0.00328136933344683,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
43,9,8.34097923096172e-05,77773,0.00130224908740496,14,0.00245145925079261,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
44,2,0.000105898549189876,10444,0.0447393403531506,12,0.000590392247821798,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
45,2,0.000105988341282459,1498,0.167216899503413,12,0.000648347501456496,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
46,11,9.99700089973008e-05,37087,0.0666554650933105,12,0.00324421919363634,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
47,7,7.43218134522482e-05,23810,0.000253209326987588,15,0.00206960379819672,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
48,2,9.16170407695831e-05,1498,0.0305515480246856,13,0.000690006786768683,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
49,4,6.69478476266988e-05,11947,4.48881970774677e-05,16,0.00123121000500612,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
50,9,9.24470740501063e-05,23835,0.0116908589385582,13,0.00268064213786624,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
51,5,7.5947444368497e-05,5986,0.0025716119257286,15,0.00158990502811614,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
52,3,8.17728350641917e-05,5983,0.00277761261662048,14,0.000958176352351997,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
53,8,0.000115995824150331,68582,0.143079761223524,11,0.0023422912314424,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
54,2,0.000114771031791576,1498,0.119253565219854,11,0.000640533311530897,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
55,1,9.1869545245751e-05,0,0.0309340126920458,13,0.000348624150539397,1500,1499,1.99866666666667,32,8.605725594841,0,19,0.00133333333333333,-0.0686507970295685,8.605725594841,0,0
