node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,35,0.00023089355806973,56060.3636019294,0.199662380968169,5,0.00503493619000361,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
2,85,0.000234082397003745,155972.868474602,0.250433619108703,5,0.0120853679465143,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
3,90,0.000257532835436518,217194.642939276,0.441492817621119,5,0.0127962875239037,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
4,148,0.000268961807423346,378523.681347594,1,4,0.0209473138788419,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
5,65,0.000236127508854782,137690.596932527,0.196790148216672,5,0.00921739096943956,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
6,10,0.000209555741827326,14382.5893351247,0.100842684818016,5,0.00146981402817694,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
7,29,0.000221238938053097,44673.9892863615,0.156893165455793,5,0.0042751189012575,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
8,38,0.000215007525263384,55583.9678104786,0.104300312072313,5,0.00547100341973292,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
9,11,0.000204498977505112,11268.0360824782,0.0513278631817749,5,0.00160636254555686,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
10,19,0.000208768267223382,26338.0892249574,0.0746931749262074,5,0.0027335600427394,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
11,41,0.000229568411386593,79425.8261214995,0.189937533706036,5,0.00579481194689598,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
12,9,0.000201409869083585,5565.46164969489,0.109570428677111,5,0.00135059641683786,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
13,24,0.000206355757325629,25860.8480775939,0.124002679801112,5,0.00359436958723142,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
14,30,0.000209336403600586,40942.4945079341,0.0673046894986593,5,0.0042603200100633,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
15,2,0.000183688464364438,609.060918669065,0.0263327660346418,6,0.000343231387538154,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
16,19,0.000216637781629116,21846.0941693489,0.152922764723631,5,0.0027859478790814,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
17,13,0.000191828122002686,10834.3566301551,0.0585034544115043,6,0.00198498245914013,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
18,10,0.00020165355918532,7742.03974879306,0.10128688871506,5,0.00152495972121346,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
19,18,0.000210084033613445,20906.6899564213,0.123084533110698,5,0.00267478365427161,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
20,32,0.000212585034013605,40783.6432992628,0.135467742420957,5,0.00469791852617355,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
21,29,0.000208029956313709,40789.8264051676,0.0856174791301774,5,0.00427896001126972,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
22,23,0.000218962119553317,36468.0470838345,0.142415586025912,5,0.00328802234821876,1500,2996,3.99466666666667,148,4.13751122970869,0.010675597885813,8,0.00266488770291305,-0.0773773107941776,4.13751122970869,408,3
