node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,0.0151515151515152,0,0.0898372410721827,6,0.0412102400232275,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
2,1,0.0172413793103448,0,0.382566535480808,6,0.0384377269186224,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
3,1,0.0161290322580645,0,0.378378019014643,7,0.0386539747732792,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
4,1,0.0172413793103448,0,0.382566535480808,6,0.0384377269186224,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
5,1,0.0131578947368421,0,0.0402612430221769,7,0.0440157475125677,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
6,0,0.00476190476190476,0,0,0,0.0106007067137809,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
7,4,0.02,26,0.989051534628084,6,0.132015379103521,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
8,1,0.0161290322580645,0,0.378378019014643,7,0.0386539747732792,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
9,3,0.0227272727272727,43,0.859739789922841,4,0.095292817431153,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
10,3,0.0185185185185185,32,0.23482775606412,5,0.108033646974517,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
11,1,0.0166666666666667,0,0.316975463474229,6,0.0384666017841051,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
12,2,0.015625,12,0.105239845329327,6,0.0786236254089101,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
13,2,0.0208333333333333,36,0.418744913917962,4,0.0682098716287209,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
14,3,0.0208333333333333,21,0.828549896754182,5,0.0983502178952619,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
15,4,0.0217391304347826,32,1,5,0.130997742140431,15,14,1.86666666666667,4,3.21978021978022,0,7,0.133333333333333,-0.372549019607843,3.21978021978022,0,4
