node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,9.70968055150986e-05,0,0.126272436161846,13,0.000311171453364499,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
2,60,0.000114929318469141,628585,1,12,0.015347396708049,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
3,24,0.000124424536518601,767767,0.211898180444227,11,0.00607078938317438,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
4,38,0.00012708095056551,906157,0.0702148871447893,11,0.00957218701087911,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
5,11,0.000111794298490777,365272,0.0106456487527302,12,0.00280557749648272,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
6,2,0.000103809820409011,1598,0.0271904436955297,12,0.000608132483738013,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
7,10,9.82607841210573e-05,269052,0.00158407929105259,13,0.00256273709422232,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
8,17,9.81643270835378e-05,87564,0.170819831908065,13,0.00460369282282066,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
9,13,0.000115326951908661,520844,0.0111096275680898,12,0.00328546838892163,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
10,14,9.98103603154007e-05,190288,0.00179192229514564,13,0.00352970787123352,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
11,10,0.000102092904543134,333132,0.00166653378505893,13,0.00259392987501912,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
12,10,8.52296940253984e-05,41160,0.0252826120060104,14,0.00276586782344902,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
13,10,0.000106826193782716,202098,0.0313192236870924,12,0.00271280296444768,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
14,4,7.50807117651475e-05,9567,0.00335474523273455,15,0.00118451923067516,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
15,3,8.61697544161999e-05,9563,0.0002337871499378,14,0.000848641557753401,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
16,5,0.000104112441436752,23825,0.0286117915797381,12,0.00136910236821184,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
17,25,9.06864967806294e-05,273400,0.000349467004083841,14,0.00641122749168532,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
18,3,0.000105741778576716,7974,0.0091607832387225,12,0.000856790876359341,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
19,1,8.48536274925753e-05,0,0.0215698363197883,14,0.000323934641141123,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
20,12,8.68281670573934e-05,78453,0.00027593254670856,14,0.00313997764013125,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
21,1,8.60807437376259e-05,0,0.000226270393620732,14,0.000308053692182144,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
22,9,0.00010612331529237,34883,0.0101973477426429,12,0.00246054494848314,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
23,4,9.72100709633518e-05,9569,0.132725239434924,13,0.00114736505898086,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
24,6,7.93335977786593e-05,15924,4.80210287827691e-05,15,0.00170769452644057,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
25,7,9.74753874646652e-05,31665,0.139945652347484,13,0.00196860336587464,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
26,3,8.61549065219264e-05,7974,0.00023391726006417,14,0.000863593997865552,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
27,1,9.48496632836953e-05,0,0.00134425200253053,13,0.000310544624728345,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
28,4,7.63533633656563e-05,14325,3.6624065814691e-05,15,0.00114321100153809,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
29,10,7.98785845514817e-05,82768,5.16863354132839e-05,15,0.00267175389735601,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
30,8,8.4537999830924e-05,22267,0.0199270669107898,14,0.00228757139945996,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
31,6,9.72857281836754e-05,15924,0.137370242674361,13,0.00170072350142392,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
32,6,0.000103960910697578,12750,0.0290831539055863,12,0.00171554400399097,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
33,1,9.70968055150986e-05,0,0.126272436161846,13,0.000311171453364183,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
34,12,9.87459267305224e-05,132433,0.154010716105705,13,0.00313639458352878,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
35,2,7.92455820588002e-05,4788,4.48670071372527e-05,15,0.000586302908888422,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
36,4,9.73425484279178e-05,20650,0.132846182208044,13,0.0011134787600887,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
37,4,9.74753874646652e-05,7977,0.00147372099165869,13,0.00115414130454783,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
38,5,7.11490572749911e-05,48835,6.99023313385723e-06,16,0.00136053328735579,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
39,3,7.08666997377932e-05,4790,6.74334320506066e-06,16,0.000904122735240231,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
40,4,9.71722864639005e-05,6385,0.13265200791142,13,0.00117810944336974,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
41,2,8.42530963012891e-05,1598,0.0170466146991982,14,0.000641959665783117,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
42,1,9.70968055150986e-05,0,0.126272436161846,13,0.000311171453364183,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
43,1,0.000105630083447766,0,0.00886620485460153,12,0.000307864709454018,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
44,11,8.83782589482987e-05,61478,0.000251897397049698,14,0.00291447884254543,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
45,6,8.5404389785635e-05,12752,0.0211500389910052,14,0.00173157731026508,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
46,2,8.93894699204434e-05,12728,0.00367341469135042,13,0.00058111299373746,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
47,2,8.43668269636379e-05,3194,0.000189155237641162,14,0.000633561579556926,1600,1599,1.99875,60,8.87804799874922,0,21,0.00125,-0.058955367186473,8.87804799874922,0,0
