node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,26,0.000116009280742459,464021,0.205931227367109,12,0.00609286235172942,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
2,62,0.000132731616671091,1235361,1,11,0.0146678910772292,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
3,21,9.90687537150783e-05,183009,0.0372305598397362,13,0.00511033003774899,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
4,19,0.000113921166552746,352051,0.172810672353809,12,0.00455015777644182,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
5,5,0.0001085776330076,18612,0.131761268093678,12,0.00129912124086933,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
6,14,0.000119445771619685,601365,0.156023872766981,12,0.00331704974736469,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
7,9,0.0001127649977447,287776,0.142750523501957,12,0.00210599047498573,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
8,9,9.76181179226865e-05,61853,0.0290526337732866,13,0.00227314247198489,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
9,15,9.52925481227368e-05,60435,0.0224865356168003,13,0.00379980902941223,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
10,12,0.000113122171945701,306618,0.14938279336694,11,0.0029134275042274,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
11,7,9.63391136801541e-05,130049,0.0204690881377268,12,0.00167715873079038,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
12,8,0.00011001100110011,117298,0.13897798070464,12,0.00194118539684227,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
13,11,9.79240109674892e-05,88143,0.0301531141162217,13,0.00273002630676072,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
14,6,8.49617672047579e-05,18610,0.00498282216045204,14,0.00159207973661807,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
15,13,0.000104079933388843,355074,0.0238976413631732,13,0.00314822028553448,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
16,7,8.43739453256834e-05,48746,0.00411601962519743,14,0.00175509542189897,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
17,7,0.000108695652173913,27002,0.136050915623302,12,0.00183089591570438,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
18,2,7.38116327133156e-05,1698,0.000516204671400687,15,0.000589203951341968,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
19,23,0.0001098659635245,108067,0.187487438802074,12,0.00581058131832762,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
20,11,9.03995660820828e-05,197374,0.00350693864565663,14,0.00271243841113756,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
21,5,8.28775070445881e-05,10171,0.00269355211482221,13,0.00135961801599266,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
22,9,9.59692898272553e-05,120461,0.0202021187517324,13,0.002179814988271,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
23,8,0.0001085776330076,18618,0.138372938187754,12,0.00212521001140537,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
24,7,8.30013280212483e-05,25349,0.00278852242160957,13,0.00181392635717023,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
25,3,9.69555943377933e-05,3395,0.0262328804213853,13,0.000843906800349067,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
26,8,0.000102061645233721,217629,0.0217687162306118,13,0.00193673238488995,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
27,14,8.53242320819113e-05,60426,0.00575798572823961,14,0.00353832864640281,1700,1699,1.99882352941176,62,8.42950939999308,0,21,0.00117647058823529,-0.0517568131315265,8.42950939999308,0,0
