node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,13,0.000111308993766696,845612,0.218981160606161,14,0.00310921845304132,1700,1699,1.99882352941176,42,9.23550185230066,0,26,0.00117647058823529,-0.0880302699981297,9.23550185230066,0,0
2,16,0.000105552037154317,736675,0.0516342677657641,13,0.00391795955833681,1700,1699,1.99882352941176,42,9.23550185230066,0,26,0.00117647058823529,-0.0880302699981297,9.23550185230066,0,0
3,16,9.72573429293912e-05,620770,0.0122885636263754,14,0.00369536331016432,1700,1699,1.99882352941176,42,9.23550185230066,0,26,0.00117647058823529,-0.0880302699981297,9.23550185230066,0,0
4,42,0.000112612612612613,1011207,1,15,0.00988065725139739,1700,1699,1.99882352941176,42,9.23550185230066,0,26,0.00117647058823529,-0.0880302699981297,9.23550185230066,0,0
5,24,9.56571647216377e-05,186360,0.0705283012936805,15,0.00586204770149882,1700,1699,1.99882352941176,42,9.23550185230066,0,26,0.00117647058823529,-0.0880302699981297,9.23550185230066,0,0
6,12,0.00010334849111203,610459,0.213397955169472,16,0.00282857693293451,1700,1699,1.99882352941176,42,9.23550185230066,0,26,0.00117647058823529,-0.0880302699981297,9.23550185230066,0,0
7,9,8.46883468834688e-05,141184,0.00226726752319078,15,0.00216749847510344,1700,1699,1.99882352941176,42,9.23550185230066,0,26,0.00117647058823529,-0.0880302699981297,9.23550185230066,0,0
8,25,9.30405656866394e-05,465998,0.0728804610752846,17,0.00609958429297125,1700,1699,1.99882352941176,42,9.23550185230066,0,26,0.00117647058823529,-0.0880302699981297,9.23550185230066,0,0
9,8,9.48946669197191e-05,33736,0.178223073489478,16,0.00205419123156726,1700,1699,1.99882352941176,42,9.23550185230066,0,26,0.00117647058823529,-0.0880302699981297,9.23550185230066,0,0
10,11,9.57304231284702e-05,109292,0.194688566700891,16,0.00267621299669043,1700,1699,1.99882352941176,42,9.23550185230066,0,26,0.00117647058823529,-0.0880302699981297,9.23550185230066,0,0
11,9,7.45156482861401e-05,71704,0.000414672337501564,16,0.00229094059317711,1700,1699,1.99882352941176,42,9.23550185230066,0,26,0.00117647058823529,-0.0880302699981297,9.23550185230066,0,0
