node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,68,0.000193498452012384,184524.421980749,0.366588898758802,5,0.00811967836705371,1800,3596,3.99555555555556,116,4.31875424618615,0.00893499024340146,8,0.00222098696806868,-0.0845235170940068,4.31875424618615,348,3
2,27,0.000169664065151001,48796.359115803,0.172142123282376,5,0.00327974630942866,1800,3596,3.99555555555556,116,4.31875424618615,0.00893499024340146,8,0.00222098696806868,-0.0845235170940068,4.31875424618615,348,3
3,116,0.000209380234505863,425759.700044971,1,5,0.0137338225035309,1800,3596,3.99555555555556,116,4.31875424618615,0.00893499024340146,8,0.00222098696806868,-0.0845235170940068,4.31875424618615,348,3
4,36,0.000184842883548983,87355.0972843586,0.257350961667684,5,0.00427841940550013,1800,3596,3.99555555555556,116,4.31875424618615,0.00893499024340146,8,0.00222098696806868,-0.0845235170940068,4.31875424618615,348,3
5,45,0.000186358553857622,118842.319526185,0.239652829223858,5,0.00532671687173401,1800,3596,3.99555555555556,116,4.31875424618615,0.00893499024340146,8,0.00222098696806868,-0.0845235170940068,4.31875424618615,348,3
6,56,0.000184094256259205,134703.170125048,0.248194698724802,5,0.0067079738583348,1800,3596,3.99555555555556,116,4.31875424618615,0.00893499024340146,8,0.00222098696806868,-0.0845235170940068,4.31875424618615,348,3
7,63,0.000176647235470765,126694.523128299,0.192320320914358,5,0.00754413303695316,1800,3596,3.99555555555556,116,4.31875424618615,0.00893499024340146,8,0.00222098696806868,-0.0845235170940068,4.31875424618615,348,3
8,35,0.0001657824933687,56444.2361352711,0.110456323842591,6,0.00432036471816379,1800,3596,3.99555555555556,116,4.31875424618615,0.00893499024340146,8,0.00222098696806868,-0.0845235170940068,4.31875424618615,348,3
9,69,0.000188040616773223,190211.334580424,0.241560561561059,5,0.00806167301816573,1800,3596,3.99555555555556,116,4.31875424618615,0.00893499024340146,8,0.00222098696806868,-0.0845235170940068,4.31875424618615,348,3
10,52,0.000184094256259205,120894.003764862,0.283868837858482,5,0.00620959847787984,1800,3596,3.99555555555556,116,4.31875424618615,0.00893499024340146,8,0.00222098696806868,-0.0845235170940068,4.31875424618615,348,3
