node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,8.01731740559609e-05,0,0.12421109243462,13,0.000260513476763007,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
2,62,9.45626477541371e-05,876234,1,12,0.0132436455496196,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
3,26,0.000102343670044008,1079412,0.215186318524406,11,0.00549746346314395,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
4,39,0.00010465724751439,1283381,0.0698647717872693,11,0.00822377656140782,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
5,13,9.2378752886836e-05,521683,0.0107514117970247,12,0.00277836171359718,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
6,2,8.5726532361766e-05,3794,0.0271540358118031,12,0.000496151039481496,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
7,10,8.13735861339409e-05,378869,0.001565800485754,13,0.00214841809202687,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
8,17,8.10832725208789e-05,129767,0.166352604280472,13,0.00381527112520245,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
9,15,9.51927653498334e-05,736362,0.0112199360969999,12,0.0031952509678542,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
10,14,8.25832025765959e-05,265967,0.00176503529494739,13,0.00294216226853407,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
11,12,8.44808650840585e-05,471476,0.00170725472651646,13,0.00264447588056193,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
12,12,7.06164818868724e-05,65727,0.0250035933064976,14,0.00274968354896877,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
13,11,8.80824451686779e-05,277593,0.031690419881884,12,0.00250239182312885,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
14,5,6.23402531014276e-05,17038,0.00331345158553618,15,0.00120385539928565,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
15,3,7.14949596053478e-05,18906,0.000226331138324271,14,0.000695016520564876,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
16,5,8.59623484913608e-05,33955,0.0285323372745576,12,0.00114180953868855,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
17,25,7.52388834549695e-05,392994,0.000345736300642978,14,0.00536333069277958,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
18,3,8.73896705409421e-05,9474,0.00895658659979963,12,0.000719730004884615,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
19,1,7.02691307708524e-05,0,0.0206628387070215,14,0.000269710924681256,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
20,13,7.19786943064853e-05,106318,0.000270645427516708,14,0.0028478547641033,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
21,1,7.13928749910759e-05,0,0.000219236962171061,14,0.000257578649010722,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
22,9,8.76962202929054e-05,47096,0.00993423889041353,12,0.00204444975715585,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
23,4,8.02632635042941e-05,13259,0.130373542562532,13,0.000955018570118063,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
24,6,6.59326168655634e-05,20810,4.66100711870044e-05,15,0.00142603859857817,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
25,7,8.04569957357792e-05,41389,0.137169844126112,13,0.00164903589631282,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
26,3,7.14438808316068e-05,9474,0.000226392213442601,14,0.000724313902895729,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
27,1,7.85978149807435e-05,0,0.0013354446045229,13,0.000260609480464064,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
28,5,6.34316523945449e-05,24566,3.5875533012265e-05,15,0.00117174437210974,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
29,11,6.64495979799322e-05,129500,5.10105719365497e-05,15,0.00245355455019509,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
30,8,6.99545295557887e-05,30229,0.0191383766679109,14,0.00190094863985447,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
31,6,8.03406443319675e-05,24577,0.134813992011644,13,0.00139774956694762,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
32,6,8.58442784788394e-05,18924,0.0289782040237802,12,0.00141985350069192,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
33,1,8.01731740559609e-05,0,0.12421109243462,13,0.000260513476762744,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
34,14,8.15328169588259e-05,190294,0.156431477603869,13,0.00302789122427486,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
35,2,6.58631364025555e-05,5688,4.36390000697293e-05,15,0.000492152177715981,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
36,4,8.03793907242183e-05,30179,0.130484785274152,13,0.000926470391674659,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
37,4,8.07037365830038e-05,11367,0.00146165246897084,13,0.000962006157521336,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
38,6,5.92943966795138e-05,76556,6.88809491662153e-06,16,0.00137107728720282,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
39,5,5.90423333530141e-05,9479,6.75455997558381e-06,16,0.00125065797481343,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
40,4,8.02246289610911e-05,7585,0.13027226378451,13,0.000989024686323926,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
41,3,6.9759330310429e-05,3795,0.016723697358599,14,0.000791060166497425,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
42,1,8.01731740559609e-05,0,0.12421109243462,13,0.000260513476762744,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
43,1,8.73133676765913e-05,0,0.00867797962639214,12,0.000258183524246732,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
44,12,7.327617791456e-05,82435,0.000257063736835609,14,0.00267672173326472,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
45,6,7.07063565014495e-05,18928,0.0210826954499521,14,0.00142581014007012,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
46,2,7.40028121068601e-05,17010,0.00360139520096465,13,0.00048607243296171,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
47,2,7.00133025274802e-05,5688,0.000184444433781974,14,0.000518257216159819,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
48,1,7.51823171190136e-05,0,0.00123394266508475,13,0.000272034289930288,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
49,2,7.51936235807204e-05,1898,0.0012532787452174,13,0.000530942548866057,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
50,3,6.58631364025555e-05,5690,4.43226541576077e-05,15,0.00074579106803001,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
51,7,7.16486350935015e-05,208695,0.000215189883566407,14,0.00153775354729133,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
52,9,7.06264566706688e-05,26465,0.000222194799265362,14,0.00214933562457198,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
53,13,7.12301445971935e-05,137368,0.000240887921666416,14,0.00279472376388526,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
54,2,6.27549419516787e-05,1898,3.03898180358192e-05,15,0.000514731225028438,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
55,4,6.58631364025555e-05,5691,4.50284330148548e-05,15,0.00100980387765225,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
56,1,8.01731740559609e-05,0,0.12421109243462,13,0.000260513476762744,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
57,6,7.91577614185071e-05,84038,0.00145321117122561,13,0.00131143989431683,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
58,2,6.17703378837482e-05,3794,0.00241504278238435,15,0.000527174980122934,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
59,9,8.06256550834476e-05,65651,0.14235382222743,13,0.0020549661740477,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
60,2,6.43376439554784e-05,1898,3.24305184419311e-05,15,0.000525485329709464,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
61,7,6.90560044195843e-05,47055,0.000199507690333216,14,0.00160621824280779,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
62,9,5.34559255893516e-05,52593,9.79414299750147e-07,17,0.00212377174704504,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
63,5,8.06256550834476e-05,65339,0.132494740135708,13,0.00115167691993179,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
64,1,6.43293663557414e-05,0,3.19301675776699e-05,15,0.000268548491194028,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
65,4,6.35606686582343e-05,113162,2.81592035053289e-05,15,0.000855430618939825,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
66,11,6.60196738628111e-05,39628,5.08966358217325e-05,15,0.00254725168451833,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
67,1,5.73361619173213e-05,0,4.02823012388665e-06,16,0.000302278633547573,1900,1899,1.99894736842105,62,9.11059283279288,0,21,0.00105263157894737,-0.052960270206386,9.11059283279288,0,0
