node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,43,0.000216450216450216,898.403496651337,0.564374627489008,3,0.000441645177742201,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
2,47,0.000220896841175171,1033.86223949032,0.644920049655822,3,0.000473555974193577,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
3,37,0.000212585034013605,676.068184042516,0.492341806648506,3,0.000389887292364735,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
4,52,0.000224215246636771,1320.80972019379,0.689354543823828,3,0.000517591229089098,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
5,49,0.00022212350066637,1144.98464806129,0.670037684370166,3,0.000490627210426397,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
6,54,0.000224265530387979,1432.41517234625,0.70348723850339,3,0.000535906012516126,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
7,57,0.000227686703096539,1534.95640202673,0.77633668084632,3,0.000558265845640965,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
8,61,0.000229832222477591,1839.05930221798,0.810999149518285,3,0.000594367503914323,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
9,50,0.000222172850477672,1232.43866105673,0.664576346468901,3,0.000500787704241697,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
10,53,0.000223713646532438,1425.08953093239,0.683830613652376,3,0.000528131592522056,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
11,51,0.000223413762287757,1337.29158328081,0.659840770942496,3,0.000510997515182974,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
12,56,0.000226090888537192,1530.59158445345,0.739019907171636,3,0.000551903874640578,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
13,48,0.000220167327168648,1138.07766682902,0.622775818791867,3,0.000485107901776002,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
14,40,0.000214178624973228,779.236124946051,0.529571017792679,3,0.00041551045160712,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
15,55,0.000226346763241286,1537.94857455749,0.721840378992556,3,0.000544029173289971,2000,49851,49.851,75,2.25647173586793,0.0249669406017716,3,0.0249379689844922,-0.00228349724218307,2.25647173586793,62022,3
