node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,28,0.000151561079114883,71382.2700532111,0.287822021065851,6,0.00296741867194569,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
2,84,0.000177525297354873,360432.483997831,1,5,0.0088880253731239,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
3,86,0.000173852573018081,318158.800334848,0.893493566759323,5,0.00913705120355319,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
4,74,0.000169981302056774,250915.713295304,0.66856086524712,5,0.00784582950491411,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
5,42,0.000156298843388559,96575.367050611,0.349340870782724,5,0.00450000655577907,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
6,30,0.00015008254539997,62365.7465391493,0.254244392934096,6,0.00318089613908631,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
7,69,0.000168520390967307,230386.505925692,0.581662099607893,5,0.00740385742613632,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
8,18,0.00014760147601476,33765.5555064524,0.206088366559621,6,0.00196595630032061,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
9,20,0.000150262960180316,46257.8942930589,0.212481902637059,5,0.00221223809011544,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
10,23,0.000152230172020094,59115.8868311445,0.206135406417542,5,0.00246018523675236,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
11,11,0.000144009216589862,15696.5621238249,0.187748434112442,5,0.00123262559294817,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
12,40,0.000155787505842031,94605.2574073031,0.317614957372641,6,0.00432613234567687,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
13,14,0.000145222189950624,23868.9658637759,0.16794083966901,6,0.00158339714077392,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
14,13,0.000142106011084269,21442.9693502812,0.144435047948994,6,0.00144070859756587,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
15,42,0.000148743120630671,100636.206373293,0.154224819669436,6,0.00448932526918272,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
16,34,0.000154083204930663,98342.6027692367,0.211668705048645,5,0.00364366963251715,2000,3996,3.996,86,4.43270385192596,0.00873540905723992,8,0.00199899949974987,-0.069666670530335,4.43270385192596,342,3
