node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,6,0.00166389351081531,232.808467210104,0.104273087958634,4,0.00745169748833113,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
2,5,0.0017921146953405,414.32175732764,0.147008047525728,5,0.00632650871328077,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
3,31,0.00235849056603774,4209.95224588291,0.602794770017596,4,0.0348838210512084,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
4,32,0.00240963855421687,4792.58423627607,0.600688690902438,4,0.0359196928013282,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
5,23,0.00209643605870021,2624.49593822351,0.354289992406302,4,0.0260096976098936,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
6,3,0.00152439024390244,64.9364383982031,0.0559168848086766,5,0.00390006082268465,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
7,16,0.00200400801603206,1588.88682021412,0.292203435935164,4,0.0176966207468458,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
8,50,0.00257731958762887,8044.95998566622,1,4,0.0551374187869796,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
9,11,0.00192678227360308,950.985071371,0.209589721901152,5,0.0126344732197472,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
10,16,0.00204918032786885,1922.81627110213,0.275426268962738,4,0.018347820035753,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
11,3,0.0018450184501845,74.6406379694568,0.162581423892387,4,0.00383570605577856,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
12,12,0.00196463654223969,1036.48903018468,0.270124231019831,4,0.0139602842417286,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
13,6,0.00187617260787992,295.174403631899,0.192230118909907,4,0.00728584783198116,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
14,15,0.00190114068441065,1301.65995209364,0.188629732407303,5,0.0174409997387804,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
15,9,0.00165837479270315,717.754983007412,0.0852992404469335,5,0.0108195034970363,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
16,6,0.00191570881226054,329.804008516872,0.216608411294571,4,0.006958733986226,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
17,4,0.00173010380622837,74.9571046266436,0.138751077923072,5,0.00474942900020832,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
18,10,0.00186567164179104,552.971546749104,0.216539833839502,4,0.0113565562808787,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
19,8,0.00191204588910134,614.050474785299,0.194358701589711,4,0.00903274570882902,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
20,2,0.00174825174825175,0,0.143335714196895,5,0.00267618958650112,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
21,7,0.00174216027874564,205.572667720174,0.133521627130239,4,0.00841166888555912,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
22,2,0.00185185185185185,0,0.180878159364816,4,0.00264382798691198,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
23,7,0.00181488203266788,421.169419002561,0.175305281894393,5,0.0083216987811596,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
24,6,0.00175438596491228,268.328153300947,0.159294256104385,5,0.00749150695090565,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
25,7,0.00160513643659711,311.841551533237,0.0809040805375404,5,0.00848665262340016,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
26,9,0.00163398692810458,502.168628311771,0.0884003487105107,4,0.010718082542863,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
27,6,0.0018018018018018,306.3805794471,0.165629427422442,5,0.00709523137599515,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
28,9,0.00158730158730159,358.353852462952,0.0912736308980063,5,0.0108366558351628,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
29,3,0.00151975683890578,84.065878767775,0.0595635246528337,5,0.00401888416964663,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
30,5,0.0018796992481203,363.468798371146,0.170621032843013,4,0.0060621613699144,200,396,3.96,50,3.17623115577889,0.0476190476190476,6,0.0198994974874372,-0.183654154130502,3.17623115577889,180,3
