node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,9,0.00133333333333333,5750,0.269705990742171,9,0.0191176690267818,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
2,26,0.00162337662337662,17019,1,8,0.0538026748073368,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
3,4,0.0010752688172043,1733,0.0571477999182431,10,0.00899019818974512,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
4,9,0.00130890052356021,4577,0.266273096150814,9,0.0195763017042492,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
5,2,0.00123456790123457,394,0.195635199421144,9,0.00478530714687614,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
6,7,0.00140449438202247,8358,0.245797595604133,7,0.0146700549547984,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
7,7,0.0012987012987013,4062,0.244033908605239,9,0.0152511434411591,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
8,4,0.00106382978723404,785,0.0569638302186352,10,0.00955795003600702,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
9,6,0.00104384133611691,980,0.0559100484111888,10,0.0145493392101666,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
10,4,0.00128865979381443,3510,0.212712972367125,9,0.00857477162987098,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
11,5,0.00105042016806723,2111,0.0470898592673332,10,0.0111899797176101,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
12,4,0.00125,1360,0.211839752388183,9,0.00904240920998269,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
13,4,0.00107066381156317,1355,0.0572571617439725,10,0.00932835814114048,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
14,2,0.000889679715302491,394,0.0111801212334851,11,0.00499651608711969,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
15,7,0.00116550116550117,4692,0.059764845564963,8,0.0152743420968543,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
16,5,0.000889679715302491,786,0.0125751684192076,11,0.0125172419549625,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
17,2,0.00123762376237624,588,0.195921414106715,9,0.00471006638507103,200,199,1.99,26,5.77316582914573,0,14,0.01,-0.107098671340239,5.77316582914573,0,0
