node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,0.0111111111111111,0,0.418951744907148,7,0.0286110164355766,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
2,2,0.0101010101010101,17,0.196028178831464,7,0.0572720024851519,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
3,2,0.0135135135135135,43,0.570215011610044,5,0.0491535487528241,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
4,1,0.0102040816326531,0,0.200848933660623,7,0.0291416797015231,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
5,4,0.0136986301369863,65,1,6,0.0977793800623665,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
6,2,0.0126582278481013,30,0.661926554383459,7,0.0498845592213043,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
7,3,0.0119047619047619,47,0.385775221556772,6,0.077970458712677,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
8,2,0.0121951219512195,27,0.363496409632527,6,0.0501896365090764,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
9,1,0.00952380952380952,0,0.212886528173055,8,0.0312995384069571,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
10,1,0.0102040816326531,0,0.242974809476312,8,0.0291064409580514,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
11,3,0.0123456790123457,37,0.4794082757792,6,0.0752074642207035,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
12,1,0.00862068965517241,0,0.0821263475724121,8,0.0321734992285133,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
13,1,0.0111111111111111,0,0.334277622306876,6,0.0287924381884387,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
14,1,0.0099009900990099,0,0.161621202213151,7,0.0299245281409156,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
15,3,0.0136986301369863,53,0.797890512142303,5,0.0739748471156998,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
16,2,0.0113636363636364,17,0.508140927352474,7,0.0552156240814901,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
17,3,0.0123456790123457,37,0.579958939018532,7,0.0750830921849211,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
18,3,0.0136986301369863,68,0.563161252271333,5,0.0718627431684191,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
19,2,0.0126582278481013,30,0.3882248443862,6,0.0495246042530667,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
20,0,0.00263157894736842,0,0,0,0.00783289817232376,20,19,1.9,4,3.75438596491228,0,8,0.1,-0.343434343434343,3.75438596491228,0,9
