node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,64,0.000154583397743082,175370.980060714,0.334668039564318,5,0.00651341352574081,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
2,91,0.000175284837861525,502294.993279484,1,5,0.00902316480362734,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
3,71,0.000165425971877585,285581.890131311,0.6066678433283,5,0.00714034715620285,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
4,63,0.000162839928350432,239682.498313853,0.536566670903121,5,0.00641205757177979,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
5,49,0.000154344806297268,173187.785240601,0.305618221483105,5,0.00494275196384094,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
6,55,0.000160487883164821,200617.057018517,0.424583579453273,5,0.00556721788885004,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
7,40,0.0001453065969195,97036.6683106059,0.235578553018761,6,0.00412947312430255,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
8,12,0.000141482739105829,19779.2931449405,0.190358816930441,6,0.00123459259084032,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
9,73,0.000156421085562334,225628.226803708,0.409918826556662,5,0.00750511487236937,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
10,24,0.000142450142450142,54681.0995560545,0.172356568825728,5,0.00250509258806065,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
11,15,0.000139392249790912,28074.2775034378,0.147569944085145,5,0.00158594583566663,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
12,8,0.000138811771238201,12828.4889429423,0.14751661152905,6,0.00088124501309206,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
13,19,0.00013294336612603,31805.4210742067,0.0969398555067261,6,0.00208219499925101,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
14,12,0.000139295166457724,25796.5100912312,0.137932348618406,5,0.00124407378405706,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
15,52,0.000150060024009604,147774.778818979,0.229981689814234,5,0.00529259723756981,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
16,23,0.000137061403508772,49464.590988539,0.107720007880891,5,0.0024367693292329,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
17,9,0.000130718954248366,13939.3586390955,0.0726278755395619,6,0.000979480240744058,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
18,29,0.000146134736226801,76745.6111548764,0.178036437933203,5,0.00294475494843888,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
19,12,0.000130548302872063,19954.5052007044,0.0663814032925224,6,0.00123828911927807,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
20,17,0.000141322781232335,30801.6504886104,0.164485433918442,5,0.00178065995089463,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
21,27,0.000134390538906061,49223.6842068131,0.0966701748014427,6,0.00283761018580628,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
22,48,0.000148809523809524,129459.244902368,0.275824910505861,5,0.00492713464609663,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
23,11,0.000133582687683676,19778.2611625561,0.0995314165934068,6,0.00120703899426444,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
24,13,0.000136817622109728,25956.7428215965,0.121546231265949,5,0.00137755835961964,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
25,10,0.000140924464487035,20066.7760877331,0.158335433919719,5,0.00104137376384112,2100,4196,3.99619047619048,91,4.41267950724835,0.0102275933414841,8,0.00190385444315887,-0.0707119755882966,4.41267950724835,435,3
