node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,29,9.18864283745291e-05,708783,0.199917809036307,12,0.00548133454824432,2100,2099,1.99904761904762,68,8.66044011887747,0,21,0.000952380952380952,-0.0485731831193622,8.66044011887747,0,0
2,68,0.00010481081647626,1890342,1,11,0.0129541535670191,2100,2099,1.99904761904762,68,8.66044011887747,0,21,0.000952380952380952,-0.0485731831193622,8.66044011887747,0,0
3,23,7.865963973885e-05,270855,0.0346402135848829,13,0.00453254050620181,2100,2099,1.99904761904762,68,8.66044011887747,0,21,0.000952380952380952,-0.0485731831193622,8.66044011887747,0,0
4,20,9.0049527239982e-05,514616,0.162843179426089,12,0.00383841053578919,2100,2099,1.99904761904762,68,8.66044011887747,0,21,0.000952380952380952,-0.0485731831193622,8.66044011887747,0,0
5,5,8.6095566078347e-05,25097,0.125306557442008,12,0.00104428765416325,2100,2099,1.99904761904762,68,8.66044011887747,0,21,0.000952380952380952,-0.0485731831193622,8.66044011887747,0,0
6,14,9.45268929010303e-05,915613,0.145863307825907,12,0.00267318261387245,2100,2099,1.99904761904762,68,8.66044011887747,0,21,0.000952380952380952,-0.0485731831193622,8.66044011887747,0,0
7,11,8.93575194352605e-05,437921,0.139218799144963,12,0.00208776317858097,2100,2099,1.99904761904762,68,8.66044011887747,0,21,0.000952380952380952,-0.0485731831193622,8.66044011887747,0,0
8,10,7.75735008920953e-05,92997,0.0270824877508398,13,0.00203452034921532,2100,2099,1.99904761904762,68,8.66044011887747,0,21,0.000952380952380952,-0.0485731831193622,8.66044011887747,0,0
9,16,7.57288905717531e-05,87175,0.0208596255469416,13,0.00325181887929313,2100,2099,1.99904761904762,68,8.66044011887747,0,21,0.000952380952380952,-0.0485731831193622,8.66044011887747,0,0
10,13,8.9629828807027e-05,466058,0.142797635265415,11,0.00254289870968336,2100,2099,1.99904761904762,68,8.66044011887747,0,21,0.000952380952380952,-0.0485731831193622,8.66044011887747,0,0
11,9,7.66342248448157e-05,209198,0.0191405728049442,12,0.00175337626195623,2100,2099,1.99904761904762,68,8.66044011887747,0,21,0.000952380952380952,-0.0485731831193622,8.66044011887747,0,0
12,8,8.72524212546898e-05,181432,0.131558373728402,12,0.0015622012139724,2100,2099,1.99904761904762,68,8.66044011887747,0,21,0.000952380952380952,-0.0485731831193622,8.66044011887747,0,0
13,11,7.78270682543389e-05,135420,0.0275563864053358,13,0.00219711928746385,2100,2099,1.99904761904762,68,8.66044011887747,0,21,0.000952380952380952,-0.0485731831193622,8.66044011887747,0,0
