node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,29,8.9903802930864e-05,1507623,0.697041211217547,10,0.00520869082448774,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
2,37,8.23791086580443e-05,1087866,1,11,0.00677666914145135,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
3,24,7.63300511411343e-05,234789,0.243659282298898,11,0.00456910169091055,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
4,4,6.98080279232112e-05,13167,0.163842479702528,12,0.000829484968685527,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
5,16,7.08365800099171e-05,234449,0.242314746084355,12,0.00302691050568617,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
6,26,9.15834783405074e-05,1764609,0.396580329112887,11,0.00454539068884804,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
7,32,8.17594636579184e-05,862150,0.264398690646677,12,0.00575563032831809,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
8,2,6.93144797948291e-05,2198,0.0412361508813826,13,0.000436822378446159,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
9,12,7.53749905781262e-05,58946,0.143361090163239,11,0.00235752820685705,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
10,9,7.0032915470271e-05,161392,0.0502199285179101,13,0.0016645930822538,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
11,13,6.16256855857521e-05,95592,0.0516665397794039,13,0.00253135291422415,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
12,7,7.6575541771958e-05,63172,0.0704859495285388,12,0.00135977919842942,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
13,11,7.96622321357444e-05,549923,0.0805912888601879,12,0.00205484176075616,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
14,9,7.20928555980102e-05,465656,0.189727371025025,12,0.00166210326322279,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
15,5,6.08383524974144e-05,43709,0.0084894507815099,14,0.000973056061013019,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
16,8,6.98372791396047e-05,19744,0.182131970323541,12,0.00167421867864233,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
17,1,7.62369444232675e-05,0,0.0604160029566636,12,0.000216781129163515,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
18,7,6.378771448619e-05,397742,0.0349778391294712,13,0.00128668278459185,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
19,23,5.70027931368637e-05,349943,0.0115260739056419,14,0.00421639329094279,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
20,3,6.538084341288e-05,4395,0.0389264695409229,12,0.000667356772946881,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
21,2,6.93144797948291e-05,2198,0.0412361508813827,13,0.000436822378446159,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
22,10,7.58552681483729e-05,148796,0.136217344274846,11,0.00185235793110859,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
23,16,7.01213098660683e-05,497998,0.019466600895094,13,0.00294052761807569,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
24,22,7.73933906044424e-05,210008,0.121085656319745,12,0.00417786909323505,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
25,9,5.07279460254654e-05,30660,0.00216439295598326,15,0.00186453123428403,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
26,10,7.01311452416018e-05,84677,0.193444484308309,12,0.00198090679908084,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
27,10,7.76337240897446e-05,250290,0.0772816806789239,12,0.0018065950373785,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
28,5,6.0742270546073e-05,15359,0.00844418026043393,14,0.00104451993532867,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
29,5,7.03086549954299e-05,122786,0.169544135274763,12,0.000943182544445627,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
30,16,7.04870656234581e-05,256803,0.0642988144747404,13,0.00298894370316591,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
31,6,6.09570252971655e-05,17552,0.0292563582264092,13,0.00125166576454945,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
32,6,7.00918202845728e-05,76061,0.174487105140087,12,0.00116153614574101,2200,2199,1.99909090909091,37,9.0990090537021,0,20,0.000909090909090909,-0.0652814076679745,9.0990090537021,0,0
