node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,78,0.000144529556294262,296834.420017004,0.318526317911735,5,0.0072597561618075,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
2,108,0.000158579130986362,580698.887092104,1,5,0.00983367126875452,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
3,66,0.000148323939483833,302598.597723857,0.436870226579479,5,0.00611267550493761,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
4,70,0.000145602795573675,281999.229952651,0.426308590831205,5,0.00643666221274061,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
5,65,0.000142106011084269,236788.724645666,0.363129158913746,5,0.00598746466848052,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
6,45,0.000141522785168412,194230.870499472,0.285903915538845,5,0.0040666418216046,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
7,8,0.000127339870113332,24045.9836061689,0.141956478318896,5,0.000770564555157535,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
8,10,0.000124347177319075,15676.0772689724,0.133605112132342,6,0.000970289781438202,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
9,44,0.00013290802764487,124017.485286905,0.159955501300581,6,0.00411757218348143,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
10,56,0.000137475941710201,187814.096869359,0.240826809394497,5,0.00522184137661017,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
11,17,0.000126550240445457,38198.4963978491,0.150301517925399,5,0.00160330378835348,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
12,29,0.000135116876097825,96517.1147373957,0.21483708491335,5,0.00268823640852793,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
13,18,0.000122955858846674,38167.0157647454,0.0887576134971482,5,0.00171163882492653,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
14,20,0.00012586532410321,49228.1418545303,0.138223929743926,5,0.00193213001676642,2300,4596,3.99652173913043,108,4.47104185184485,0.00906684452967047,9,0.0017383739622142,-0.0722510498585725,4.47104185184485,435,3
