node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,52,0.000195083886071011,1057.52416987578,0.620557521148467,3,0.000396323763144718,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
2,62,0.000199163513244374,1533.8797405335,0.722453301310031,3,0.000461493968656514,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
3,47,0.000191168036704263,896.046887373472,0.548206143462869,3,0.000365764028164136,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
4,66,0.000201531640467553,1790.11913956339,0.757025104629623,3,0.0004878652879193,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
5,74,0.000205086136177194,2285.05131521034,0.854864836707989,3,0.000539358956272461,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
6,63,0.000200400801603206,1611.18260123288,0.729984916974077,3,0.000468084721833236,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
7,47,0.000191277735271614,854.168413150624,0.55380795063663,3,0.000364739972301313,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
8,66,0.000202142712755205,1777.54848914606,0.766675819012928,3,0.000487377690628143,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
9,69,0.000204290091930541,1878.19559338354,0.821617103735207,3,0.000504795967114523,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
10,55,0.00019657951641439,1201.49750469194,0.652530696035265,3,0.000416067324884783,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
11,66,0.000201409869083585,1811.60038457982,0.749410676349339,3,0.000488563994069836,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
12,52,0.000195045835771406,1075.47186188431,0.616845926745405,3,0.000396582634360912,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
13,58,0.00019669551534225,1407.53542088105,0.655648848741358,3,0.00043762846070935,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
14,58,0.000198886237072395,1368.1516609229,0.677763945902971,3,0.000435847270752633,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
15,56,0.000197550375345713,1287.68988645039,0.654855185242858,3,0.000423044463707458,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
16,65,0.000201816347124117,1702.15738999728,0.763610005805376,3,0.000480191187012979,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
17,65,0.000201450443190975,1709.15371159777,0.760668410055673,3,0.000480690444296447,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
18,58,0.000199760287654814,1352.25214088686,0.691078147964033,3,0.000434762614305424,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
19,55,0.000197472353870458,1222.95121657352,0.646530093890883,3,0.000416231227846909,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
20,62,0.000199362041467305,1542.48182101625,0.724266913163756,3,0.000461254673621108,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
21,53,0.000195541650371529,1122.25903885856,0.623582541175175,3,0.000403426080547996,2300,66453,57.7852173913044,86,2.20249295534921,0.0251980486991328,3,0.0251349357943908,-0.00882459805282603,2.20249295534921,96696,3
