node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,21,7.17205766334361e-05,1786613,1,15,0.00358066725437772,2300,2299,1.99913043478261,25,10.668751631144,0,28,0.000869565217391304,-0.0892421720488601,10.668751631144,0,0
2,15,6.24882834468537e-05,264844,0.344294014757789,16,0.0026938274535301,2300,2299,1.99913043478261,25,10.668751631144,0,28,0.000869565217391304,-0.0892421720488601,10.668751631144,0,0
3,2,6.1648480364959e-05,22890,0.184400822598956,16,0.000380149424146229,2300,2299,1.99913043478261,25,10.668751631144,0,28,0.000869565217391304,-0.0892421720488601,10.668751631144,0,0
4,11,6.98470349933645e-05,1342657,0.320349657405832,16,0.00190564977833986,2300,2299,1.99913043478261,25,10.668751631144,0,28,0.000869565217391304,-0.0892421720488601,10.668751631144,0,0
5,24,6.26291726686291e-05,304310,0.789519491231045,16,0.0042697190097651,2300,2299,1.99913043478261,25,10.668751631144,0,28,0.000869565217391304,-0.0892421720488601,10.668751631144,0,0
6,22,6.74991562605467e-05,1519885,0.238350861999531,17,0.00373268552130265,2300,2299,1.99913043478261,25,10.668751631144,0,28,0.000869565217391304,-0.0892421720488601,10.668751631144,0,0
7,22,6.88278615183426e-05,1467720,0.836694279432908,14,0.00377075873577013,2300,2299,1.99913043478261,25,10.668751631144,0,28,0.000869565217391304,-0.0892421720488601,10.668751631144,0,0
8,14,6.24960939941254e-05,264308,0.311234309996177,16,0.0025594018668199,2300,2299,1.99913043478261,25,10.668751631144,0,28,0.000869565217391304,-0.0892421720488601,10.668751631144,0,0
9,15,6.30875023657813e-05,906738,0.299752700451841,15,0.00266815111008153,2300,2299,1.99913043478261,25,10.668751631144,0,28,0.000869565217391304,-0.0892421720488601,10.668751631144,0,0
10,7,5.87924040214004e-05,117932,0.0539820796969676,18,0.00121513271972377,2300,2299,1.99913043478261,25,10.668751631144,0,28,0.000869565217391304,-0.0892421720488601,10.668751631144,0,0
11,10,6.20925178515989e-05,910644,0.0658757773083002,18,0.00187248806395597,2300,2299,1.99913043478261,25,10.668751631144,0,28,0.000869565217391304,-0.0892421720488601,10.668751631144,0,0
12,16,5.78871201157742e-05,876029,0.11850844869172,16,0.0027415052016202,2300,2299,1.99913043478261,25,10.668751631144,0,28,0.000869565217391304,-0.0892421720488601,10.668751631144,0,0
13,17,5.74019861087194e-05,964131,0.0371274982584004,19,0.00304422910877675,2300,2299,1.99913043478261,25,10.668751631144,0,28,0.000869565217391304,-0.0892421720488601,10.668751631144,0,0
