node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,72,0.000136184120931499,286156.118443793,0.306364006928527,5,0.0063202888757272,2400,4796,3.99666666666667,107,4.46893288870363,0.00922454323632685,8,0.00166597193274976,-0.0647048521235764,4.46893288870363,465,3
2,107,0.000153633430634506,671844.339368275,1,5,0.00933397683442521,2400,4796,3.99666666666667,107,4.46893288870363,0.00922454323632685,8,0.00166597193274976,-0.0647048521235764,4.46893288870363,465,3
3,56,0.000142979696883043,301104.647362518,0.378358007817542,5,0.00483186487862725,2400,4796,3.99666666666667,107,4.46893288870363,0.00922454323632685,8,0.00166597193274976,-0.0647048521235764,4.46893288870363,465,3
4,83,0.000141242937853107,347415.613333639,0.534168982142354,5,0.00746361157422289,2400,4796,3.99666666666667,107,4.46893288870363,0.00922454323632685,8,0.00166597193274976,-0.0647048521235764,4.46893288870363,465,3
5,44,0.000131717597471022,149448.281828699,0.246228821446151,5,0.00390030599999956,2400,4796,3.99666666666667,107,4.46893288870363,0.00922454323632685,8,0.00166597193274976,-0.0647048521235764,4.46893288870363,465,3
6,73,0.00014082523588227,306019.454314323,0.456955007811831,5,0.00652546334087642,2400,4796,3.99666666666667,107,4.46893288870363,0.00922454323632685,8,0.00166597193274976,-0.0647048521235764,4.46893288870363,465,3
7,27,0.000124688279301746,73853.1279895597,0.165946289322215,5,0.00251125015707476,2400,4796,3.99666666666667,107,4.46893288870363,0.00922454323632685,8,0.00166597193274976,-0.0647048521235764,4.46893288870363,465,3
8,30,0.000123533045089561,69456.446686752,0.194708926310542,6,0.00273397260707452,2400,4796,3.99666666666667,107,4.46893288870363,0.00922454323632685,8,0.00166597193274976,-0.0647048521235764,4.46893288870363,465,3
9,55,0.000135153399107988,252795.455939963,0.256171200008489,5,0.00474360077506402,2400,4796,3.99666666666667,107,4.46893288870363,0.00922454323632685,8,0.00166597193274976,-0.0647048521235764,4.46893288870363,465,3
10,19,0.000123289360128221,55849.6971251019,0.136942848191973,5,0.00171945575750052,2400,4796,3.99666666666667,107,4.46893288870363,0.00922454323632685,8,0.00166597193274976,-0.0647048521235764,4.46893288870363,465,3
11,59,0.000129836406128278,186146.699584472,0.264622219947036,5,0.00527284468331353,2400,4796,3.99666666666667,107,4.46893288870363,0.00922454323632685,8,0.00166597193274976,-0.0647048521235764,4.46893288870363,465,3
