node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,2,6.20308913839092e-05,2398,0.123827809392936,14,0.000404568144541625,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
2,64,7.28597449908925e-05,1398321,1,13,0.0107514655868636,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
3,27,7.86843968840979e-05,1720493,0.212637660979593,12,0.00449249824271044,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
4,42,8.04311107536395e-05,2045335,0.0728642920971199,11,0.00698042587582391,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
5,14,7.12098554439934e-05,827735,0.0111426007389372,12,0.00237262239526436,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
6,3,6.62295516259355e-05,9583,0.0267468640642223,13,0.000578030926996663,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
7,12,6.29049506196138e-05,600342,0.00164206207277553,13,0.00205886466096986,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
8,18,6.26919942323365e-05,201747,0.164873179596683,14,0.00312520790779355,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
9,19,7.34591934180563e-05,1191721,0.0123312251079639,12,0.00322160945185901,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
10,16,6.39836201932305e-05,436136,0.00196603205001098,13,0.0026667143074218,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
11,13,6.53979465044798e-05,756453,0.00186179382016917,13,0.0022468759708617,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
12,12,5.472555135993e-05,90277,0.0241529247194876,15,0.00216004746878202,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
13,11,6.80225834977212e-05,449605,0.030559136581832,13,0.00196416095673331,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
14,5,4.84191158669443e-05,21538,0.00313579919736253,16,0.000950870089030634,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
15,3,5.55524693072607e-05,31040,0.000247298657167793,14,0.000549103326606747,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
16,6,6.63966536086581e-05,54807,0.0280661848264321,13,0.0010810433090105,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
17,25,5.84146270226065e-05,636230,0.000362588908378542,14,0.00417496040145492,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
18,3,6.74900452183303e-05,16754,0.00916750883855765,12,0.00055724554671981,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
19,2,5.45048236768954e-05,2398,0.0204158846571055,15,0.000412061467416923,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
20,16,5.59127760693318e-05,167405,0.00031092167744856,14,0.00277771645479632,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
21,1,5.54723470350031e-05,0,0.000239826819349506,14,0.000204169197581869,2400,2399,1.99916666666667,64,9.40763894678338,0,22,0.000833333333333333,-0.0424354798703152,9.40763894678338,0,0
