node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,2,5.92768227622999e-05,2498,0.123738506208263,14,0.00038788359009595,2500,2499,1.9992,64,9.44845202080832,0,22,8e-04,-0.0424232057554252,9.44845202080832,0,0
2,64,6.95700570474468e-05,1507764,1,13,0.0102972719565835,2500,2499,1.9992,64,9.44845202080832,0,22,8e-04,-0.0424232057554252,9.44845202080832,0,0
3,27,7.51653638003608e-05,1858734,0.213764514019493,12,0.00430677035558521,2500,2499,1.9992,64,9.44845202080832,0,22,8e-04,-0.0424232057554252,9.44845202080832,0,0
4,44,7.69349130635482e-05,2222856,0.0796993900597013,11,0.00703964948005643,2500,2499,1.9992,64,9.44845202080832,0,22,8e-04,-0.0424232057554252,9.44845202080832,0,0
5,14,6.81291729118408e-05,894840,0.012174773756884,12,0.00227655305824385,2500,2499,1.9992,64,9.44845202080832,0,22,8e-04,-0.0424232057554252,9.44845202080832,0,0
6,3,6.33151829808788e-05,9983,0.0268685928543245,13,0.000554595653521441,2500,2499,1.9992,64,9.44845202080832,0,22,8e-04,-0.0424232057554252,9.44845202080832,0,0
7,12,6.02191978802842e-05,655147,0.00179242058665793,13,0.00196640605246883,2500,2499,1.9992,64,9.44845202080832,0,22,8e-04,-0.0424232057554252,9.44845202080832,0,0
8,18,5.98802395209581e-05,210347,0.164674222648042,14,0.00299956320267371,2500,2499,1.9992,64,9.44845202080832,0,22,8e-04,-0.0424232057554252,9.44845202080832,0,0
9,19,7.0402703463813e-05,1310909,0.0134913316630897,12,0.00309085320012355,2500,2499,1.9992,64,9.44845202080832,0,22,8e-04,-0.0424232057554252,9.44845202080832,0,0
10,16,6.13647520864016e-05,482389,0.00214931741131825,13,0.00255375222973018,2500,2499,1.9992,64,9.44845202080832,0,22,8e-04,-0.0424232057554252,9.44845202080832,0,0
11,16,6.27510040160643e-05,836756,0.00215520177483302,13,0.00267819150978947,2500,2499,1.9992,64,9.44845202080832,0,22,8e-04,-0.0424232057554252,9.44845202080832,0,0
12,12,5.22957849597322e-05,94077,0.0240999538129787,15,0.00207358177851695,2500,2499,1.9992,64,9.44845202080832,0,22,8e-04,-0.0424232057554252,9.44845202080832,0,0
