node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,89,0.000134228187919463,397398.474853488,0.736011068066115,5,0.00761810770284621,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
2,98,0.000141622999575131,578765.992589693,1,5,0.00830497874765296,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
3,78,0.000131891321551042,374715.917292885,0.558925211130915,5,0.00664521196128863,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
4,80,0.000136948781155848,456467.489657188,0.738069931440973,5,0.00670427868144493,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
5,40,0.000126646403242148,193296.117444829,0.294311270621956,5,0.00340525805881634,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
6,32,0.00011648223645894,85385.3199925968,0.164532349403003,5,0.00274615460812986,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
7,32,0.000118750742192139,85897.2357205257,0.232908645615604,5,0.00278064102454838,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
8,36,0.000122428991185113,134248.939293595,0.274142334002754,5,0.00306135914439741,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
9,23,0.000118217283366828,57141.8662162654,0.215555003302956,6,0.00197169354749349,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
10,32,0.000120904364647564,106647.548143213,0.252265260166856,6,0.00276184085082451,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
11,20,0.00011602274045713,43421.5505342035,0.17152572281586,5,0.00177226338548928,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
12,41,0.00012685525815045,179874.284967822,0.326558052781417,5,0.00344598833377653,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
13,23,0.000116346713205352,58561.6440899868,0.15415427249419,5,0.00194633980466771,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
14,46,0.000122518990443519,155954.089976885,0.279586723962611,5,0.00393951568059986,2500,4996,3.9968,98,4.53735350140056,0.00765641823184591,8,0.00159935974389756,-0.0656146007766698,4.53735350140056,384,3
