node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,10,0.025,77.4666666666667,0.956080691667207,3,0.0998301734271794,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
2,2,0.0166666666666667,0,0.18813836629756,4,0.0238131354937005,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
3,9,0.0238095238095238,69.1,0.677208491859116,3,0.0907380969908776,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
4,11,0.0256410256410256,98.3416666666667,1,3,0.108519672689166,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
5,4,0.0188679245283019,12.4666666666667,0.29436146511859,3,0.0434984768632985,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
6,3,0.0178571428571429,4.575,0.299368443817509,3,0.0338147859140653,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
7,2,0.0185185185185185,0,0.37878263220619,3,0.0228711758127458,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
8,3,0.0192307692307692,1.24166666666667,0.447870565236821,3,0.0322680406836807,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
9,4,0.0178571428571429,11.7,0.356778691359984,4,0.0442205405691053,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
10,7,0.0222222222222222,45.625,0.570917907454078,3,0.0720388324355759,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
11,4,0.0188679245283019,10.175,0.355403967844686,3,0.0434227252199579,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
12,4,0.0204081632653061,26.325,0.36801720994132,3,0.0442753529719074,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
13,3,0.0178571428571429,5.16666666666667,0.288355472879547,3,0.0335086461605009,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
14,3,0.0181818181818182,8.53333333333333,0.287028197133416,3,0.0342907338656015,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
15,2,0.015625,1.9,0.126845392709677,4,0.0251242204351174,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
16,2,0.0172413793103448,0,0.241691769093092,3,0.0233172816702837,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
17,2,0.0169491525423729,1.36666666666667,0.253960694742377,4,0.0237128938505513,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
18,2,0.0181818181818182,0,0.316276101863008,3,0.0230552739015598,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
19,2,0.0181818181818182,0,0.304198299436274,3,0.0231331835814698,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
20,2,0.0169491525423729,0,0.251614466341551,3,0.0239664670804207,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
21,3,0.0175438596491228,3.81666666666667,0.273350016784256,3,0.0336352439454836,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
22,2,0.0169491525423729,2.16666666666667,0.240977178511913,3,0.0239796811534522,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
23,2,0.0158730158730159,1.79166666666667,0.140352133977239,4,0.0248053773774652,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
24,2,0.0166666666666667,1.24166666666667,0.254226901240861,4,0.0238824296122451,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
25,2,0.0149253731343284,0,0.163487134243775,4,0.0242775582945879,25,46,3.68,11,2.27666666666667,0.206349206349206,4,0.153333333333333,-0.260880019235393,2.27666666666667,39,3
