node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,0.0087719298245614,0,0.107763021820833,6,0.0201933707790518,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
2,2,0.0103092783505155,10.75,0.303870169861584,5,0.0337409319411273,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
3,2,0.010752688172043,14.9166666666667,0.375977337845303,5,0.0336044732707294,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
4,1,0.00862068965517241,0,0.117067851637847,6,0.0225877644068419,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
5,4,0.0114942528735632,40.0833333333333,0.622100043377024,4,0.0637532289980023,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
6,2,0.0101010101010101,15.3333333333333,0.18193461059272,5,0.0343894343867819,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
7,4,0.0128205128205128,102.416666666667,0.826866899184688,4,0.062382586425209,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
8,4,0.0106382978723404,63,0.371367980767462,5,0.0770662789770275,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
9,1,0.00892857142857143,0,0.117195268270016,6,0.0207453577246476,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
10,1,0.00900900900900901,0,0.147345651935312,5,0.0207181565692877,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
11,3,0.0111111111111111,38.9166666666667,0.371772177622047,5,0.0512970974132611,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
12,1,0.00840336134453781,0,0.105734125073448,6,0.020940253675726,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
13,2,0.0105263157894737,2,0.473476826100997,4,0.0323689791283422,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
14,1,0.00862068965517241,0,0.117067851637847,6,0.0225877644068419,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
15,5,0.012987012987013,89.1666666666667,1,4,0.0744141563288233,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
16,3,0.0103092783505155,30,0.335414616202337,5,0.0519849654758907,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
17,3,0.0112359550561798,39,0.467416600446025,4,0.0512010933355205,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
18,3,0.0103092783505155,23.6666666666667,0.235290498349125,5,0.0501037539096357,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
19,4,0.0126582278481013,44.75,0.879884749111206,3,0.0593422957272618,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
20,0,0.00166666666666667,0,2.37666533664083e-17,0,0.0062111801242236,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
21,3,0.0116279069767442,43.75,0.490866824954527,4,0.0475326821725973,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
22,1,0.00862068965517241,0,0.117067851637847,6,0.0225877644068419,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
23,4,0.0108695652173913,43.1666666666667,0.341850775042879,5,0.0657985442580149,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
24,1,0.00917431192660551,0,0.196107148040751,5,0.0197587412862991,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
25,2,0.00970873786407767,6.08333333333333,0.192692466945353,5,0.0346891448720137,25,29,2.32,5,3.19927536231884,0.05,6,0.0966666666666667,-0.199156118143461,3.19927536231884,3,3
