node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,5,0.00107874865156419,129.534683286607,0.297920536490999,5,0.00232933205948147,300,1145,7.63333333333333,15,3.0304347826087,0.0287097890003459,6,0.0255295429208473,-0.0333551760698377,3.0304347826087,249,3
2,8,0.0010989010989011,338.832866478774,0.35699745933483,5,0.00358252187627164,300,1145,7.63333333333333,15,3.0304347826087,0.0287097890003459,6,0.0255295429208473,-0.0333551760698377,3.0304347826087,249,3
3,6,0.00107411385606874,190.637214094635,0.282799020186078,5,0.00277976110950757,300,1145,7.63333333333333,15,3.0304347826087,0.0287097890003459,6,0.0255295429208473,-0.0333551760698377,3.0304347826087,249,3
4,8,0.00113122171945701,256.89493545503,0.489543011057365,4,0.00340273890585794,300,1145,7.63333333333333,15,3.0304347826087,0.0287097890003459,6,0.0255295429208473,-0.0333551760698377,3.0304347826087,249,3
5,9,0.00116822429906542,465.992274960977,0.555104874173747,4,0.00385702588231072,300,1145,7.63333333333333,15,3.0304347826087,0.0287097890003459,6,0.0255295429208473,-0.0333551760698377,3.0304347826087,249,3
6,10,0.00116279069767442,405.187266729435,0.581714975329158,5,0.00419403192730026,300,1145,7.63333333333333,15,3.0304347826087,0.0287097890003459,6,0.0255295429208473,-0.0333551760698377,3.0304347826087,249,3
7,8,0.00112739571589628,250.489748378985,0.473221931432802,5,0.00339876599257429,300,1145,7.63333333333333,15,3.0304347826087,0.0287097890003459,6,0.0255295429208473,-0.0333551760698377,3.0304347826087,249,3
8,10,0.00117233294255569,556.503964893269,0.485654109306802,4,0.00428636548446167,300,1145,7.63333333333333,15,3.0304347826087,0.0287097890003459,6,0.0255295429208473,-0.0333551760698377,3.0304347826087,249,3
9,5,0.00104931794333683,124.025028412259,0.271865272586301,5,0.00232951474450526,300,1145,7.63333333333333,15,3.0304347826087,0.0287097890003459,6,0.0255295429208473,-0.0333551760698377,3.0304347826087,249,3
10,7,0.00111856823266219,202.926474789911,0.426563971887316,5,0.00302428603332059,300,1145,7.63333333333333,15,3.0304347826087,0.0287097890003459,6,0.0255295429208473,-0.0333551760698377,3.0304347826087,249,3
