node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,17,0.0238095238095238,211.502777777778,1,3,0.13874067757152,30,56,3.73333333333333,17,2.2735632183908,0.149006622516556,4,0.128735632183908,-0.329930526017298,2.2735632183908,45,3
2,6,0.0166666666666667,40.0480158730159,0.351699024664628,3,0.050947954780542,30,56,3.73333333333333,17,2.2735632183908,0.149006622516556,4,0.128735632183908,-0.329930526017298,2.2735632183908,45,3
3,6,0.0175438596491228,30.7746031746032,0.416521688682921,3,0.0507302769667205,30,56,3.73333333333333,17,2.2735632183908,0.149006622516556,4,0.128735632183908,-0.329930526017298,2.2735632183908,45,3
4,11,0.0208333333333333,106.812301587302,0.706038940894492,3,0.0901879811649441,30,56,3.73333333333333,17,2.2735632183908,0.149006622516556,4,0.128735632183908,-0.329930526017298,2.2735632183908,45,3
5,7,0.0192307692307692,53.3400793650794,0.538743020024782,3,0.0576231521092291,30,56,3.73333333333333,17,2.2735632183908,0.149006622516556,4,0.128735632183908,-0.329930526017298,2.2735632183908,45,3
6,5,0.0144927536231884,16.7853174603175,0.277206200322357,4,0.0440764207081457,30,56,3.73333333333333,17,2.2735632183908,0.149006622516556,4,0.128735632183908,-0.329930526017298,2.2735632183908,45,3
7,4,0.0151515151515152,15.0694444444444,0.244745368081859,3,0.0358787895904236,30,56,3.73333333333333,17,2.2735632183908,0.149006622516556,4,0.128735632183908,-0.329930526017298,2.2735632183908,45,3
8,3,0.0136986301369863,3.55,0.212639878279689,4,0.0275779732947591,30,56,3.73333333333333,17,2.2735632183908,0.149006622516556,4,0.128735632183908,-0.329930526017298,2.2735632183908,45,3
9,4,0.0163934426229508,5.26111111111111,0.380123555566743,3,0.0346502639408521,30,56,3.73333333333333,17,2.2735632183908,0.149006622516556,4,0.128735632183908,-0.329930526017298,2.2735632183908,45,3
10,3,0.0142857142857143,12.5916666666667,0.175043968525871,3,0.0281876248853243,30,56,3.73333333333333,17,2.2735632183908,0.149006622516556,4,0.128735632183908,-0.329930526017298,2.2735632183908,45,3
