node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,5,0.0144927536231884,259,0.861464042497873,5,0.0771754058275211,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
2,7,0.012987012987013,228,0.799851343235148,5,0.109448481269955,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
3,2,0.0105263157894737,28,0.310669483974154,6,0.0350212430382444,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
4,1,0.00952380952380952,0,0.258355569598402,6,0.0182901727256374,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
5,2,0.00970873786407767,28,0.288450117242718,6,0.0352879416448335,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
6,7,0.0140845070422535,264,1,6,0.108685397276863,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
7,5,0.0114942528735632,150,0.581820629361488,7,0.0809312533871131,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
8,1,0.00869565217391304,0,0.187930671585553,8,0.0187583130758092,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
9,1,0.0103092783505155,0,0.278256747669983,6,0.0181198189906786,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
10,3,0.00900900900900901,55,0.237485242939372,8,0.052588385355259,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
11,1,0.00763358778625954,0,0.0931706809912292,7,0.0199973751990542,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
12,1,0.0101010101010101,0,0.323004482999847,7,0.0181975125264762,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
13,2,0.0103092783505155,28,0.360629659101437,7,0.0351428767537788,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
14,2,0.0101010101010101,78,0.292949140959536,6,0.0332816466189532,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
15,1,0.00719424460431655,0,0.0767087981157248,9,0.0199000425173234,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
16,1,0.00952380952380952,0,0.258355569598402,6,0.0182901727256374,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
17,1,0.0101010101010101,0,0.323004482999847,7,0.0181975125264762,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
18,2,0.00813008130081301,54,0.107099353667951,7,0.0352740562195666,30,29,1.93333333333333,7,3.75862068965517,0,9,0.0666666666666667,-0.410334346504559,3.75862068965517,0,0
