node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,0.00694444444444444,0,0.0398308009096087,7,0.0137905618871743,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
2,4,0.0117647058823529,25.3888888888889,0.623912124558875,5,0.0292277227878135,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
3,4,0.0117647058823529,24.4714285714286,0.716510325404303,5,0.0290595951446259,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
4,3,0.00892857142857143,25.6845238095238,0.0960611311923759,6,0.0280022251556525,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
5,8,0.0135135135135135,111.673015873016,0.963236986122851,4,0.0576281151726527,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
6,1,0.00847457627118644,0,0.113858082259049,6,0.01111053130135,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
7,3,0.0101010101010101,34.2920634920635,0.275872092837919,5,0.0246447665885714,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
8,2,0.00980392156862745,5,0.170738749965414,5,0.0176382262224508,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
9,4,0.0108695652173913,4.91666666666667,0.642865240578293,5,0.0286489097126571,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
10,5,0.0119047619047619,40.5230158730159,0.630425356320923,4,0.0359351157095748,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
11,1,0.00662251655629139,0,0.0138645736186759,7,0.0129943497819508,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
12,4,0.0121951219512195,67.2936507936508,0.491045336161152,4,0.0314645244378529,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
13,1,0.00813008130081301,0,0.118643616662768,6,0.0108574227616195,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
14,7,0.012987012987013,77.5507936507937,1,4,0.0486812206245352,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
15,2,0.00900900900900901,33,0.187658554675539,6,0.0223643472975529,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
16,5,0.0112359550561798,40.7162698412698,0.573255346319405,4,0.0371536402242814,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
17,5,0.0111111111111111,45.8873015873016,0.558976699337291,5,0.0386571086817952,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
18,2,0.00934579439252336,4.13888888888889,0.152441214554037,5,0.0180542274323044,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
19,3,0.00847457627118644,38.6702380952381,0.0653214544286425,6,0.0307363605749524,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
20,5,0.0121951219512195,45.7293650793651,0.771005960216976,4,0.0359826497860837,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
21,6,0.0128205128205128,58.3738095238095,0.876982889899535,5,0.0419859810977567,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
22,6,0.0125,88.6214285714286,0.844302390959425,5,0.0448705087605212,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
23,4,0.0113636363636364,17.0583333333333,0.547397746565974,5,0.0290937167250553,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
24,4,0.0117647058823529,42.7428571428571,0.536430166276353,5,0.0321167859559329,35,63,3.6,8,2.8890756302521,0.136363636363636,7,0.105882352941176,0.0815842627557739,2.8890756302521,30,3
