node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,14,0.000874125874125874,3875.18733722533,0.576873920938158,5,0.00756663711618641,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
2,29,0.000903342366757001,9003.68993637758,0.828134346240088,5,0.0156252795568733,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
3,33,0.000946073793755913,11736.292553004,1,5,0.0178709594808657,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
4,10,0.000821692686935086,1968.64616435472,0.431561199022097,5,0.00555300276338032,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
5,24,0.000912408759124088,8890.54762230768,0.634520370884533,5,0.0126585966294833,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
6,28,0.000984251968503937,12416.552155126,0.90885698107843,4,0.0152257719384802,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
7,30,0.000919117647058824,11029.6765771908,0.730528700084418,5,0.016620447072044,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
8,14,0.000843881856540084,3849.37491812683,0.332161391387113,5,0.00775669571529111,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
9,14,0.000788022064617809,3297.41803644197,0.300957773755245,5,0.00781746605780345,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
10,18,0.000807102502017756,4694.43662658542,0.352226256811432,5,0.0100974941341992,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
11,10,0.000817661488143908,2972.87953031856,0.25140153328747,5,0.00574127271355294,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
12,8,0.000749063670411985,1153.72773913917,0.207939708887403,5,0.00448802950488629,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
13,16,0.000831946755407654,4391.30788970306,0.351981488602629,5,0.00888087403590254,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
14,6,0.000743494423791822,905.031675727107,0.194591634523017,5,0.0034955560343629,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
15,30,0.000941619585687382,12573.7455057884,0.736384633028228,5,0.0164745958220205,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
16,10,0.000754716981132076,1828.80306282907,0.231196716281341,5,0.00592119011461419,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
17,14,0.00078740157480315,2504.17507746973,0.289625663193107,5,0.00780594495736567,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
18,14,0.00078740157480315,2661.39991735367,0.231855674406218,5,0.00805797968801137,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
19,13,0.000814995925020375,3529.94390933917,0.27040908095398,5,0.00737194540105884,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
20,11,0.000826446280991736,3084.20283580823,0.302439108410854,5,0.00616212746377931,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
21,14,0.000797448165869219,3393.72008855521,0.211992599439442,5,0.00783415387703547,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
22,4,0.000736919675755343,530.644224822978,0.178605258043768,5,0.00248519911197698,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
23,12,0.000821692686935086,2932.80597299816,0.248788779850779,5,0.00705170048117267,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
24,12,0.000779423226812159,2358.93788554821,0.220736443782464,5,0.00687424803671647,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
25,8,0.000750187546886722,1332.86164732515,0.213017276882669,5,0.0046422163860001,400,796,3.98,33,3.8050626566416,0.0328695652173913,7,0.0099749373433584,-0.121637219507702,3.8050626566416,189,3
