node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,31,0.00100603621730382,11463.2324264959,0.640852299540108,4,0.0165347809918412,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
2,27,0.000921658986175115,8967.15219434989,0.311988136064492,5,0.0148716602283974,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
3,45,0.00110253583241455,23124.6838146898,1,4,0.0238210221689871,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
4,30,0.000977517106549365,11887.133078815,0.511303486395751,5,0.0160667582569045,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
5,4,0.000794912559618442,533.339504624193,0.119551036659457,5,0.00236467561229345,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
6,23,0.00091324200913242,6563.121330768,0.371367217447571,4,0.0130301335702972,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
7,20,0.000907441016333938,5564.02047817626,0.372951483043189,5,0.0108489708506313,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
8,31,0.000966183574879227,10508.0761712787,0.537016001422515,5,0.016795575742846,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
9,23,0.000897666068222621,6354.80629389961,0.297884241096966,5,0.0126241796008517,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
10,21,0.000851788756388416,5703.40513014599,0.274835510369523,5,0.0118121846766796,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
11,2,0.000802568218298555,0,0.151476144791941,5,0.00130650105552432,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
12,6,0.000833333333333333,851.577365699462,0.19257129225813,5,0.00349284374204882,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
13,8,0.000786782061369001,1357.82996862857,0.134648656072755,5,0.00468280761259154,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
14,12,0.000846740050804403,2386.33843193918,0.23828112096552,5,0.00662964882915067,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
15,3,0.000759301442672741,129.228510215419,0.10728741697878,5,0.00188078895632966,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
16,7,0.000753012048192771,782.668640808132,0.0980267075157244,5,0.0042461538598863,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
17,26,0.000865051903114187,7518.14414718957,0.239679928947407,5,0.014610855604424,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
18,9,0.000829187396351575,1814.19325751164,0.186231490655027,5,0.00511184067046524,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
19,13,0.000798722044728434,2388.30393684001,0.113268521459035,5,0.00760335685360208,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
20,5,0.000827129859387924,686.883678094267,0.187268323594122,5,0.00295426295462015,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
21,6,0.000770416024653313,871.235054410634,0.114006545495978,5,0.00344165059859725,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
22,17,0.000838222967309304,4234.14028172041,0.213485951499356,5,0.00969719686950887,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
23,7,0.000801282051282051,1452.29003220663,0.111719784448465,5,0.00408063411805487,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
24,7,0.000772797527047913,1237.98097363094,0.11482973140673,5,0.00404868936268874,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
25,12,0.000873362445414847,2990.40560825818,0.231083516616605,4,0.00673080366391887,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
26,3,0.000736377025036819,156.011561191631,0.0737870127447858,5,0.00188316434686475,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
27,17,0.000852514919011083,3848.62762874685,0.292922742149694,5,0.00981055478699531,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
28,6,0.000771604938271605,812.308582080886,0.121035376872472,5,0.00363813650619489,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
29,5,0.000758725341426404,480.970800763676,0.1143465358567,5,0.00293537984319964,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
30,5,0.000769230769230769,620.094227005596,0.102224454219825,5,0.00286120379472158,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
31,5,0.000696378830083566,157.998385300792,0.0761510291160139,6,0.00304367293062439,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
32,8,0.000827129859387924,1532.4836406244,0.169811823881805,5,0.00465494717713818,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
33,11,0.000741839762611276,1840.17128839082,0.0710267729431567,5,0.00655147185216637,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
34,4,0.000771604938271605,450.869196809907,0.122840202188714,5,0.00239207553216057,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
35,6,0.000768639508070715,899.08254370451,0.109240008581737,5,0.00348190277400996,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
36,5,0.000726744186046512,715.528904909062,0.0496224398337202,5,0.00314323047496366,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
37,5,0.000808407437348424,845.659225410037,0.194739776585883,5,0.00300644418964502,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
38,2,0.000649772579597141,114.172243855536,0.0203565757910552,5,0.001378392661173,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
39,9,0.000764525993883792,1891.89265077189,0.103647320834291,5,0.00529333608075394,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
40,15,0.000821018062397373,3530.09149151209,0.160975786569656,5,0.00865450035369713,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
41,6,0.000713775874375446,804.120730311931,0.0568608477504033,6,0.00371203109030178,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
42,2,8e-04,48.5095234423129,0.143359487324991,5,0.00129149840882747,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
43,7,0.000715307582260372,832.311439899042,0.0676479263264416,5,0.00421779097505771,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
44,6,0.00076103500761035,697.53816093224,0.0993800816718538,5,0.00355109817601563,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
45,3,0.000683526999316473,86.2731581284213,0.0671588164089864,6,0.00193822877278739,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
46,7,0.000829875518672199,1169.42873829328,0.172191483958723,5,0.00402833065467577,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
47,5,0.000725163161711385,357.864029460741,0.0851264871106113,5,0.00300074276989675,400,796,3.98,45,3.69748120300752,0.0272937548188126,7,0.0099749373433584,-0.105178990199617,3.69748120300752,177,3
