node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,13,0.000600240096038415,21451,0.228968849164464,9,0.013694241234459,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
2,38,0.000721500721500722,68511,1,8,0.0392917675335653,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
3,8,0.000494071146245059,7725,0.0437700357130629,10,0.00879910598883684,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
4,13,0.000598086124401914,20228,0.2260650036421,9,0.013905550422392,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
5,3,0.000562429696287964,1190,0.165476518904967,9,0.0035647926000943,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
6,8,0.000635324015247776,34161,0.193666864433387,9,0.00820692191843418,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
7,7,0.000584795321637427,13860,0.187522604874066,9,0.00744234574931836,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
8,6,0.00048780487804878,2762,0.0411268679129247,10,0.0070285431937446,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
9,11,0.000478927203065134,3935,0.0391522320605174,10,0.0130141317977737,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
10,7,0.000588235294117647,15497,0.185349357008745,9,0.00747074463919974,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
11,5,0.000486854917234664,8469,0.0326003216096047,10,0.00532737967556995,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
12,6,0.000574052812858783,8101,0.180309228019076,9,0.00640344068425646,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
13,6,0.000489715964740451,4302,0.0412314030913255,10,0.00690178368855201,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
14,3,0.000413907284768212,1190,0.00724291314214377,11,0.00366294464447101,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
15,9,0.000538793103448276,20801,0.0385792595127722,10,0.00955228422273782,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
16,6,0.000411861614497529,2372,0.00740032235254645,11,0.0072849306997522,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
17,3,0.00056369785794814,1974,0.165594314276625,9,0.00347021548847338,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
18,1,0.000353857041755131,0,0.00116329354611337,12,0.00140703184913167,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
19,7,0.000565610859728507,3153,0.184836606100326,9,0.00814532003664045,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
20,8,0.00045662100456621,12114,0.00739757669369179,11,0.00860650680083719,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
21,3,0.000408496732026144,795,0.00539103477039861,11,0.00370061970066877,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
22,4,0.000481695568400771,6204,0.0319745810629242,10,0.00435233560813288,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
23,4,0.000562429696287964,1191,0.169780980860141,9,0.00482432698519887,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
24,5,0.000409500409500409,1979,0.00569063840156624,11,0.0059518486474592,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
25,1,0.000484496124031008,0,0.0359927543429743,10,0.00127039269609989,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
26,4,0.000522466039707419,10918,0.0331142254233929,10,0.00424867581309871,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
27,5,0.000415627597672485,3149,0.00765145942776375,11,0.0058086672749791,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
28,2,0.000459981600735971,398,0.0266711291773131,10,0.00266735744818324,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
29,1,0.000476644423260248,0,0.029135989016795,10,0.00128216184904604,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
30,5,0.00049800796812749,11495,0.0397552712240889,10,0.00558663975399392,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
31,4,0.000405844155844156,1978,0.00543602735554866,11,0.00473691660202252,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
32,2,0.000483091787439614,5390,0.0299605100052891,10,0.00223963531177148,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
33,7,0.000448833034111311,5082,0.00715291716332999,11,0.00789380430270687,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
34,2,0.000484027105517909,794,0.0364600482102342,10,0.00243412232678514,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
35,4,0.000469924812030075,2367,0.0306561816324919,10,0.00467573934645786,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
36,1,0.000353857041755131,0,0.00116329354611337,12,0.00140703184913167,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
37,4,0.000509164969450102,1585,0.0329031991552988,10,0.00471706146206004,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
38,3,0.000389105058365759,3518,0.00122504328251614,12,0.00342708035726924,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
39,1,0.000560538116591928,0,0.157194982960854,9,0.00125389480009345,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
40,2,0.000409165302782324,1580,0.00525800116397999,11,0.00234683585271599,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
41,3,0.000486381322957198,1584,0.0379139553126983,10,0.00352121675719605,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
42,2,0.00050761421319797,398,0.0312147849909416,10,0.00245124924279329,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
43,3,0.000469483568075117,1974,0.029879480898997,10,0.00353392973391029,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
44,1,0.000386398763523957,0,0.0011628619423165,12,0.00128944134758903,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
45,10,0.000425170068027211,10343,0.00809120762892468,11,0.0108749688771453,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
46,1,0.000443655723158829,0,0.00606446604175259,11,0.00127716017659218,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
47,1,0.000483091787439614,0,0.0355362843955654,10,0.00128420906607983,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
48,7,0.000439753737906772,7356,0.00615456580587464,11,0.0076593549316183,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
49,4,0.000381970970206264,1585,0.00121525103767741,12,0.00489107591240407,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
50,3,0.000475285171102662,795,0.0310101506119487,10,0.00369687475064487,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
51,2,0.000364166059723234,794,0.0013049601463155,12,0.00245526404687139,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
52,3,0.000484496124031008,1190,0.0374084498489334,10,0.00361791518462782,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
53,1,0.000412881915772089,0,0.0068804300181109,11,0.00130990501131429,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
54,2,0.000484496124031008,1188,0.0364847022825459,10,0.00239377599811843,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
55,1,0.000402252614641995,0,0.00615453445163244,11,0.00138063745710072,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
56,2,0.000355618776671408,398,0.00116739627659872,12,0.00271089521085459,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
57,1,0.000560538116591928,0,0.157194982960854,9,0.00125389480009345,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
58,5,0.00037593984962406,2371,0.00107507449805209,12,0.00591149104640258,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
59,1,0.000560538116591928,0,0.157194982960854,9,0.00125389480009345,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
60,1,0.000560538116591928,0,0.157194982960854,9,0.00125389480009345,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
61,4,0.000435161009573542,2755,0.00563019173250327,11,0.00463745300288336,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
62,3,0.000374812593703148,795,0.00101776536604477,12,0.00374771291461759,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
63,2,0.000561167227833895,398,0.161177726929524,9,0.00246206622323869,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
64,6,0.000564334085778781,2372,0.179482670918452,9,0.00705181582751274,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
65,2,0.000352609308885755,1188,0.000848590467248097,12,0.00250866190086823,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
66,2,0.000356887937187723,398,0.00123324483826045,12,0.00263205234715669,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
67,3,0.000365497076023392,2754,0.0013417247717582,12,0.00346276877004679,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
68,5,0.000409500409500409,5071,0.005245211857044,11,0.00563219683956143,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
69,3,0.00040650406504065,2750,0.00529491210924377,11,0.00349432321492496,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
70,4,0.000508646998982706,1191,0.0328809502036083,10,0.00480924519254465,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
71,2,0.00034965034965035,398,0.000876166532694051,12,0.00266198791065196,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
72,1,0.000423011844331641,0,0.00516872040699291,11,0.00139696460341592,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
73,3,0.000351123595505618,1974,0.00087680733988524,12,0.00364994961389115,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
74,5,0.000564334085778781,2370,0.174685496633219,9,0.00583562791545008,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
75,1,0.000380807311500381,0,0.00112440269161005,12,0.00133353337961442,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
76,1,0.000423370025402202,0,0.00517221783057479,11,0.00137737556068794,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
77,3,0.000364697301239971,1583,0.0013389278106634,12,0.00357509637494586,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
78,3,0.000462534690101758,795,0.0305659736202036,10,0.00386155866728893,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
79,2,0.000318877551020408,794,0.000215943961870801,13,0.00257875680805375,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
80,2,0.000319284802043423,398,0.000216256148877032,13,0.00262210225937973,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
81,2,0.000484966052376334,398,0.0369046786459974,10,0.00248789463185948,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
82,1,0.000560538116591928,0,0.157194982960854,9,0.00125389480009345,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
83,3,0.000484496124031008,1190,0.0374084498489334,10,0.00361791518462782,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
84,1,0.000388802488335925,0,0.00419256769657448,11,0.0015086269154779,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
85,1,0.000423011844331641,0,0.00516872040699291,11,0.00139696460341592,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
86,1,0.000326157860404436,0,0.000159987609373558,13,0.00143685199247461,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
87,1,0.000443655723158829,0,0.00606446604175259,11,0.00127716017659218,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
88,4,0.000563063063063063,1585,0.169895863453792,9,0.00473095348871245,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
89,1,0.000560538116591928,0,0.157194982960854,9,0.00125389480009345,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
90,1,0.000560538116591928,0,0.157194982960854,9,0.00125389480009345,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
91,3,0.000461680517082179,795,0.0288873096870485,10,0.00386731204944087,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
92,3,0.000364697301239971,1583,0.00133983379847678,12,0.00359360442140756,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
93,8,0.00038971161340608,4317,0.00140935685621562,12,0.0092007405045769,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
94,3,0.000484027105517909,795,0.0373838120249031,10,0.00370747729790349,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
95,2,0.000407830342577488,398,0.00611088513620828,11,0.00264802830717195,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
96,1,0.000399680255795364,0,0.00487464009705881,11,0.00142244784601608,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
97,2,0.000469043151969981,1580,0.0291006750725619,10,0.00235213974407558,400,399,1.995,38,6.51781954887218,0,16,0.005,-0.0957712328028337,6.51781954887218,0,0
