node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,7,0.00840336134453781,524,1,7,0.0782117197149832,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
2,2,0.00645161290322581,38,0.366495471214754,8,0.0257293736108998,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
3,1,0.00636942675159236,0,0.327247202979708,8,0.0132471373939622,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
4,3,0.00775193798449612,363,0.470953314388877,6,0.0346322367198931,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
5,1,0.00636942675159236,0,0.327247202979707,8,0.0132471373939622,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
6,5,0.00699300699300699,361,0.285018100845549,7,0.0579823665640587,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
7,6,0.00775193798449612,416,0.864018259143201,8,0.0677139640638402,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
8,2,0.00662251655629139,108,0.372585225970241,8,0.0243323692456469,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
9,4,0.00645161290322581,207,0.436827638464581,9,0.0477349447506804,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
10,1,0.00552486187845304,0,0.093271376300294,8,0.01360700231589,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
11,2,0.00598802395209581,224,0.10900265799147,8,0.02379663838804,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
12,3,0.0053475935828877,110,0.184935719198006,10,0.0380219448839521,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
13,3,0.00518134715025907,207,0.0480715543110424,9,0.0359634214311176,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
14,2,0.00606060606060606,38,0.316658779022839,9,0.0258791570656919,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
15,1,0.00552486187845304,0,0.093271376300294,8,0.01360700231589,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
16,2,0.00448430493273543,38,0.0677781035519125,11,0.0277266291722684,40,39,1.95,7,4.9525641025641,0,12,0.05,-0.225344737301449,4.9525641025641,0,0
