node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,11,0.0105263157894737,614,1,5,0.122347028918106,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
2,1,0.0075187969924812,0,0.287463204665872,6,0.0132040885982173,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
3,3,0.00854700854700855,255,0.371045531336141,6,0.0352822430257852,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
4,6,0.00699300699300699,212,0.184096411079442,7,0.073365982815468,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
5,4,0.00900900900900901,327,0.398724994852983,5,0.0463242337228614,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
6,2,0.00763358778625954,38,0.313357533951049,6,0.0256619782359566,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
7,3,0.00826446280991736,206,0.354877824747017,6,0.035116849418193,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
8,4,0.0075187969924812,265,0.157809537227078,6,0.0471083091400491,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
9,2,0.00558659217877095,38,0.0576879973850925,8,0.0271327032989296,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
10,1,0.0075187969924812,0,0.287463204665872,6,0.0132040885982173,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
11,1,0.00552486187845304,0,0.0529209442963822,8,0.0141435142321913,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
12,3,0.0065359477124183,110,0.123312009245336,7,0.0376821523084263,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
13,1,0.00645161290322581,0,0.106661937514838,7,0.0137466355239725,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
14,1,0.0075187969924812,0,0.287463204665872,6,0.0132040885982173,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
15,1,0.0075187969924812,0,0.287463204665872,6,0.0132040885982173,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
16,1,0.00460829493087558,0,0.0165831765990752,9,0.0152813989020451,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
17,1,0.00552486187845304,0,0.0529209442963823,8,0.0141435142321913,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
18,1,0.00584795321637427,0,0.0453644352981342,7,0.0137605156922604,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
19,3,0.00613496932515337,143,0.0554327602449625,7,0.0372049585464396,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
20,1,0.0075187969924812,0,0.287463204665872,6,0.0132040885982173,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
21,1,0.00497512437810945,0,0.0159348789034919,8,0.0142914049214912,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
22,1,0.00552486187845304,0,0.0529209442963823,8,0.0141435142321913,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
23,3,0.0050761421319797,75,0.0190898643798479,8,0.0398708776620409,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
24,2,0.00775193798449612,74,0.315920974605649,6,0.0248459461765049,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
25,2,0.00591715976331361,38,0.0494508074194334,7,0.0265330969741846,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
26,1,0.00523560209424084,0,0.035447665351452,8,0.0144266098207208,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
27,2,0.00529100529100529,38,0.0386407471236674,8,0.0275759057858643,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
28,2,0.00606060606060606,38,0.0989962175258382,7,0.027392606066559,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
29,1,0.00425531914893617,0,0.00548763359126792,9,0.0150467486709116,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
30,2,0.00636942675159236,38,0.111203640016638,7,0.026438002351188,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
31,1,0.00483091787439614,0,0.0142152875741052,8,0.0150265662140285,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
32,1,0.00671140939597315,0,0.114618764800822,6,0.0135938996661081,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
33,1,0.00440528634361234,0,0.011107792998853,9,0.0154697599589923,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
34,1,0.00671140939597315,0,0.114618764800822,6,0.0135938996661081,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
35,1,0.00591715976331361,0,0.0900787609157633,7,0.0146563407502816,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
36,1,0.00552486187845304,0,0.0529209442963823,8,0.0141435142321913,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
37,1,0.00512820512820513,0,0.0319669547296927,8,0.0149861509992549,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
38,1,0.00425531914893617,0,0.00548763359126793,9,0.0150467486709116,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
39,1,0.0075187969924812,0,0.287463204665872,6,0.0132040885982173,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
40,1,0.00492610837438424,0,0.0284577699397772,8,0.0153918575782876,40,39,1.95,11,4.21666666666667,0,9,0.05,-0.335974643423138,4.21666666666667,0,0
