node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,2,0.0078740157480315,3.78888888888889,0.0831537664902655,5,0.0146973182566429,40,85,4.25,8,2.64230769230769,0.125373134328358,5,0.108974358974359,-0.135419405732318,2.64230769230769,42,3
2,3,0.00862068965517241,16.3027777777778,0.118019336860623,5,0.0203399576977917,40,85,4.25,8,2.64230769230769,0.125373134328358,5,0.108974358974359,-0.135419405732318,2.64230769230769,42,3
3,3,0.00980392156862745,26.4440476190476,0.189488322501074,4,0.0190814884220742,40,85,4.25,8,2.64230769230769,0.125373134328358,5,0.108974358974359,-0.135419405732318,2.64230769230769,42,3
4,2,0.00925925925925926,10.5194444444444,0.2254164391075,4,0.0134969073873196,40,85,4.25,8,2.64230769230769,0.125373134328358,5,0.108974358974359,-0.135419405732318,2.64230769230769,42,3
5,2,0.00806451612903226,2.11666666666667,0.219294167541074,5,0.0137477094252196,40,85,4.25,8,2.64230769230769,0.125373134328358,5,0.108974358974359,-0.135419405732318,2.64230769230769,42,3
6,4,0.0102040816326531,27.9299062049062,0.480238893811165,4,0.0227740746572184,40,85,4.25,8,2.64230769230769,0.125373134328358,5,0.108974358974359,-0.135419405732318,2.64230769230769,42,3
7,7,0.010989010989011,65.7643578643579,0.863053499120096,4,0.0376563205227584,40,85,4.25,8,2.64230769230769,0.125373134328358,5,0.108974358974359,-0.135419405732318,2.64230769230769,42,3
8,4,0.00952380952380952,18.2984126984127,0.245563126915326,4,0.0238320974818309,40,85,4.25,8,2.64230769230769,0.125373134328358,5,0.108974358974359,-0.135419405732318,2.64230769230769,42,3
9,3,0.01,32.5833333333333,0.282126725852792,4,0.0194279664034219,40,85,4.25,8,2.64230769230769,0.125373134328358,5,0.108974358974359,-0.135419405732318,2.64230769230769,42,3
10,6,0.0105263157894737,75.5325396825397,0.276948053624251,4,0.0365248530422443,40,85,4.25,8,2.64230769230769,0.125373134328358,5,0.108974358974359,-0.135419405732318,2.64230769230769,42,3
11,4,0.00909090909090909,22.4507936507937,0.327767804329162,5,0.0244396379265127,40,85,4.25,8,2.64230769230769,0.125373134328358,5,0.108974358974359,-0.135419405732318,2.64230769230769,42,3
12,5,0.0102040816326531,11.6472582972583,0.819834707041959,4,0.0266153616389398,40,85,4.25,8,2.64230769230769,0.125373134328358,5,0.108974358974359,-0.135419405732318,2.64230769230769,42,3
13,7,0.0116279069767442,106.800613275613,0.57547408187806,4,0.0391297274425669,40,85,4.25,8,2.64230769230769,0.125373134328358,5,0.108974358974359,-0.135419405732318,2.64230769230769,42,3
