node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,6,0.00884955752212389,601,0.703266600994097,5,0.0603659292586362,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
2,10,0.00833333333333333,601,1,6,0.100702855982459,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
3,3,0.00657894736842105,85,0.243152896458912,6,0.033862070697698,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
4,1,0.00613496932515337,0,0.288280593210081,7,0.0118930760918424,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
5,2,0.0062111801242236,43,0.314409843471186,7,0.0230550441098641,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
6,8,0.00833333333333333,579,0.588153903417381,6,0.0806720739554236,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
7,6,0.00680272108843537,312,0.302572717823004,7,0.0630067331915333,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
8,1,0.00526315789473684,0,0.087225842583202,8,0.0122592872021339,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
9,1,0.00641025641025641,0,0.202738112919415,6,0.0118851733116401,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
10,3,0.00537634408602151,85,0.104613858562474,8,0.0345838338304834,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
11,1,0.00490196078431373,0,0.090638256186962,8,0.0131317270800256,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
12,1,0.00613496932515337,0,0.169553356175987,7,0.0119047411910971,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
13,2,0.00636942675159236,123,0.186607210772915,7,0.0218018746184006,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
14,3,0.0065359477124183,199,0.349605514157909,7,0.0320355832060861,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
15,1,0.00436681222707424,0,0.0301581452043856,9,0.0131320862519703,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
16,1,0.00613496932515337,0,0.288280593210081,7,0.0118930760918424,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
17,1,0.00613496932515337,0,0.169553356175987,7,0.0119047411910971,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
18,2,0.00526315789473684,123,0.111942012686853,8,0.0225739705696738,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
19,3,0.00436681222707424,85,0.0387037072168272,9,0.0358725482162921,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
20,1,0.00512820512820513,0,0.0700962612319245,7,0.0129275866976811,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
21,1,0.00526315789473684,0,0.087225842583202,8,0.0122592872021339,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
22,1,0.00641025641025641,0,0.202738112919415,6,0.0118851733116401,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
23,2,0.00510204081632653,84,0.0591571371732949,8,0.0232873727701259,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
24,1,0.00613496932515337,0,0.169553356175987,7,0.0119047411910971,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
25,1,0.00367647058823529,0,0.0111575276758963,10,0.0134972219946161,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
26,2,0.0062111801242236,43,0.314409843471185,7,0.0230550441098641,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
27,1,0.00613496932515337,0,0.169553356175987,7,0.0119047411910971,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
28,1,0.00436681222707424,0,0.0301581452043856,9,0.0131320862519703,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
29,3,0.00628930817610063,85,0.345747823251104,7,0.0338773172189885,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
30,2,0.00531914893617021,43,0.0951318408493819,8,0.0236283687443714,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
31,1,0.00495049504950495,0,0.0996723875879223,8,0.0129319065453801,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
32,1,0.00613496932515337,0,0.288280593210081,7,0.0118930760918424,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
33,1,0.00641025641025641,0,0.202738112919415,6,0.0118851733116401,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
34,1,0.00613496932515337,0,0.288280593210081,7,0.0118930760918424,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
35,1,0.00490196078431373,0,0.0906382561869619,8,0.0131317270800256,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
36,1,0.00495049504950495,0,0.0996723875879223,8,0.0129319065453801,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
37,1,0.00510204081632653,0,0.100784485010957,8,0.0124100819083911,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
38,1,0.00367647058823529,0,0.0111575276758963,10,0.0134972219946161,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
39,1,0.00432900432900433,0,0.0274246635132269,9,0.0133753900496912,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
40,1,0.00613496932515337,0,0.169553356175987,7,0.0119047411910971,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
41,2,0.00421940928270042,43,0.0185995862388592,9,0.0251488064093467,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
42,1,0.00512820512820513,0,0.0700962612319244,7,0.0129275866976811,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
43,1,0.00357142857142857,0,0.00536189975440043,10,0.0140215760573057,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
44,1,0.00526315789473684,0,0.087225842583202,8,0.0122592872021339,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
45,1,0.00613496932515337,0,0.288280593210081,7,0.0118930760918424,45,44,1.95555555555556,10,4.16565656565657,0,10,0.0444444444444444,-0.34215361999265,4.16565656565657,0,0
