node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,7,0.00709219858156028,678,1,8,0.0684822119320927,45,44,1.95555555555556,7,5.25050505050505,0,13,0.0444444444444444,-0.202821869488536,5.25050505050505,0,0
2,3,0.00561797752808989,125,0.418858336082425,9,0.0325690241524905,45,44,1.95555555555556,7,5.25050505050505,0,13,0.0444444444444444,-0.202821869488536,5.25050505050505,0,0
3,1,0.00543478260869565,0,0.325092747563928,9,0.011649030496516,45,44,1.95555555555556,7,5.25050505050505,0,13,0.0444444444444444,-0.202821869488536,5.25050505050505,0,0
4,3,0.00657894736842105,463,0.464002150241735,7,0.0304077843410203,45,44,1.95555555555556,7,5.25050505050505,0,13,0.0444444444444444,-0.202821869488536,5.25050505050505,0,0
5,1,0.00543478260869565,0,0.325092747563929,9,0.011649030496516,45,44,1.95555555555556,7,5.25050505050505,0,13,0.0444444444444444,-0.202821869488536,5.25050505050505,0,0
6,5,0.00598802395209581,472,0.276447873555045,7,0.0506012497002465,45,44,1.95555555555556,7,5.25050505050505,0,13,0.0444444444444444,-0.202821869488536,5.25050505050505,0,0
7,6,0.00649350649350649,508,0.848546600800693,9,0.0598580057683724,45,44,1.95555555555556,7,5.25050505050505,0,13,0.0444444444444444,-0.202821869488536,5.25050505050505,0,0
8,2,0.00561797752808989,123,0.369359914174397,9,0.0214600884916769,45,44,1.95555555555556,7,5.25050505050505,0,13,0.0444444444444444,-0.202821869488536,5.25050505050505,0,0
9,4,0.00546448087431694,270,0.437175252929893,10,0.0421167876859573,45,44,1.95555555555556,7,5.25050505050505,0,13,0.0444444444444444,-0.202821869488536,5.25050505050505,0,0
10,1,0.00476190476190476,0,0.0898711987722151,8,0.0119355457823752,45,44,1.95555555555556,7,5.25050505050505,0,13,0.0444444444444444,-0.202821869488536,5.25050505050505,0,0
11,2,0.00515463917525773,288,0.104706659142905,8,0.0208424303316394,45,44,1.95555555555556,7,5.25050505050505,0,13,0.0444444444444444,-0.202821869488536,5.25050505050505,0,0
12,4,0.00458715596330275,165,0.211979248481012,11,0.0443398305124037,45,44,1.95555555555556,7,5.25050505050505,0,13,0.0444444444444444,-0.202821869488536,5.25050505050505,0,0
13,3,0.00448430493273543,271,0.0456345473156779,9,0.03143606311505,45,44,1.95555555555556,7,5.25050505050505,0,13,0.0444444444444444,-0.202821869488536,5.25050505050505,0,0
