node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,19,0.000465983224603914,69053,1,10,0.0151714852411387,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
2,17,0.000501504513540622,88700,0.890277977449731,9,0.0136291185453106,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
3,14,0.000475737392959087,72062,0.467324746323002,9,0.0115012925572519,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
4,5,0.000400962309542903,23839,0.111650699416883,10,0.00437393151092156,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
5,6,0.00040983606557377,12511,0.226259947947368,10,0.00513656477091051,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
6,2,0.00038550501156515,1488,0.0971986794470085,10,0.00187714784966686,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
7,16,0.000414593698175788,40680,0.273567415204104,10,0.0135305988723414,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
8,12,0.000357909806728704,26798,0.110594136843081,11,0.0103043372377191,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
9,2,0.000304692260816575,2470,0.0230510378974732,12,0.0018740368681037,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
10,2,0.000384911470361817,498,0.0968536444319916,10,0.00196210217206281,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
11,4,0.000388500388500389,6341,0.107466829625973,10,0.00361981737768891,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
12,4,0.000345303867403315,22007,0.0260339270956238,11,0.00347084450382404,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
13,9,0.000392156862745098,22102,0.308897329665664,11,0.00746963769673217,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
14,3,0.000385208012326656,995,0.101020898724941,10,0.00290988957377224,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
15,10,0.000388198757763975,16270,0.31655896978357,11,0.00846572442765225,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
16,10,0.000382555470543229,7353,0.312657907483839,11,0.00898376827632763,500,499,1.996,19,7.17575951903808,0,17,0.004,-0.118202991807221,7.17575951903808,0,0
