node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,15,0.000489955903968643,98048,0.512184324285854,9,0.0117563519408731,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
2,7,0.000401445202729827,11612,0.125957021608776,10,0.00594094090295957,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
3,17,0.000427533133817871,43959,0.248053438964649,10,0.0139916896831434,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
4,24,0.000460193281178095,71185,1,10,0.0198186868842197,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
5,3,0.000397614314115308,5864,0.105490004046105,10,0.00260894831285003,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
6,5,0.000335908632851864,2970,0.0279816789993136,11,0.00470711114207371,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
7,5,0.000376081233546446,2970,0.22215259333636,11,0.00466595993552389,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
8,5,0.000397298371076679,5401,0.114197595558404,10,0.00444140420698775,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
9,3,0.000353232073472271,1490,0.0507452259347026,11,0.00284564574771338,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
10,6,0.000401123144805455,11030,0.118622978319878,10,0.00534220006936769,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
11,13,0.000407331975560081,19929,0.177845591733067,10,0.0110416415338467,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
12,2,0.000417188151856487,30388,0.10153313688605,10,0.00166523868552644,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
13,3,0.000354484225451967,3935,0.0510074426252299,11,0.00272671919675814,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
14,2,0.000380083618396047,9580,0.198081830697194,11,0.00177016950406902,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
15,11,0.000394166338194718,29954,0.307045581070267,11,0.00949174690499372,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
16,2,0.000374672161858374,498,0.196661705587231,11,0.00196776802684947,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
17,5,0.000375516334960571,1986,0.221430183853341,11,0.00479126025391171,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
18,2,0.000338409475465313,8658,0.0235284509807991,11,0.00184199315914689,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
19,5,0.000362976406533575,31562,0.0233488212759586,11,0.00411203181691991,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
20,5,0.000323519896473633,9197,0.0447760122979695,12,0.00451916280540666,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
21,9,0.000311235605353252,9746,0.00631387608110849,12,0.00783826318086333,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
22,5,0.000353982300884956,2971,0.0550990123313441,11,0.00463746582407156,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
23,2,0.000330797221303341,2958,0.0607687433610805,12,0.00186909149558094,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
24,1,0.000352485019386676,0,0.0470291035805666,11,0.000999584484157574,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
25,5,0.00033955857385399,1986,0.0393803820749591,11,0.0048387523339012,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
26,10,0.000340251786321878,22349,0.0885991851260057,12,0.00866310953861517,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
27,4,0.000356760613628255,8225,0.0536087659900969,11,0.00357328405692318,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
28,2,0.000329706561160567,498,0.0603841076663011,12,0.00201714781985397,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
29,1,0.000315756236185665,0,0.037285609750046,12,0.00113630141141128,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
30,4,0.00033955857385399,1985,0.0378506036126411,11,0.00382263801884513,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
31,6,0.000292483182217023,8263,0.00547705197944619,12,0.00554245752460739,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
32,7,0.000295595625184747,12948,0.0216234615733496,13,0.0061772473146824,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
33,9,0.000280662363177098,6385,0.0119625798139873,13,0.00834447722625021,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
34,8,0.000384763370527126,17086,0.258482981981407,11,0.00676870750691484,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
35,5,0.000284819139846198,2479,0.0134771298602697,13,0.00491551956264291,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
36,4,0.000361402240693892,16307,0.055084811390472,11,0.00354748914514572,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
37,6,0.000398883127243718,7812,0.119919800466301,10,0.00524184631303378,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
38,1,0.000246244767298695,0,0.00226801695437486,14,0.00108808951581232,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
39,3,0.000258197779499096,1983,0.00442384072088409,14,0.00287799847917143,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
40,3,0.000335232986925914,1490,0.025767502140982,11,0.00288387510219381,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
41,9,0.000305530094714329,6873,0.014376556280747,12,0.00818312513507741,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
42,2,0.000265463233342182,994,0.00283125413540779,13,0.0020107140828917,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
43,6,0.000309693403530505,5882,0.00541625400005943,12,0.00543088323550507,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
44,1,0.000307408545957578,0,0.00442676440550248,12,0.000999045408876731,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
45,15,0.000312402374258044,15353,0.0216022138807363,12,0.0133477801288915,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
46,1,0.000255297421496043,0,0.00103840868295414,13,0.00108518148265277,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
47,2,0.000339328130302002,1488,0.0350259970190765,11,0.00189604218523548,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
48,4,0.000256739409499358,5387,0.00116772465637784,13,0.00376796128158351,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
49,6,0.000377786173026067,5899,0.23269971837161,11,0.00530228060360531,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
50,1,0.000302938503483793,0,0.0101638268717327,12,0.00105932286209639,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
51,2,0.000374672161858374,498,0.196661705587231,11,0.00196776802684947,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
52,5,0.000302388872089507,2970,0.0113129815233752,12,0.00479676376106552,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
53,5,0.000340947834981248,4922,0.0397138583990193,11,0.00454416319540646,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
54,3,0.000336360578540195,3940,0.0258906374645647,11,0.00272397445881764,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
55,3,0.00025980774227072,7743,0.00447774772677709,14,0.00275064488081161,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
56,2,0.000269905533063428,1488,0.00124349331709981,13,0.00192053818558646,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
57,5,0.000272108843537415,5897,0.00483052997565301,13,0.00447410051153966,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
58,3,0.000278940027894003,995,0.00914676983858862,13,0.00304487011624213,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
59,1,0.000270343336036767,0,0.00409562051793003,13,0.0010563742073039,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
60,5,0.000292483182217023,4437,0.0197832527881994,13,0.00460503537696158,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
61,1,0.000287769784172662,0,0.00530512008021153,12,0.00110020889415271,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
62,4,0.000288933834151979,2477,0.00551058562533185,12,0.00385777392328,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
63,4,0.000292141396435875,1985,0.0084522393697901,12,0.00392428310616154,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
64,2,0.000263088660878716,994,0.00222792754372908,13,0.00207010878014589,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
65,2,0.000290613193839,994,0.00689786183634563,12,0.00205667929489353,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
66,1,0.000393855848759354,0,0.097106372480547,10,0.000966193276650051,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
67,3,0.000228466986520448,3935,0.00023928881597096,14,0.00286448395044356,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
68,1,0.000332778702163062,0,0.0227359102176942,11,0.00104259489434684,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
69,1,0.000290444379901249,0,0.00746623016143499,12,0.00112258789676337,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
70,3,0.000269323996768112,3454,0.00111150254171365,13,0.00280927906421018,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
71,1,0.00025766555011595,0,0.00409964892382881,14,0.00105009431678286,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
72,2,0.000394166338194718,498,0.100727042789099,10,0.00191184857401236,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
73,2,0.000374672161858374,498,0.196661705587231,11,0.00196776802684947,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
74,1,0.000301295570955107,0,0.00967063513658283,12,0.00107257043908168,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
75,5,0.0003269042170644,9233,0.0578417166156144,12,0.00431670738027406,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
76,2,0.000318572793883402,1488,0.0458956756616411,12,0.00194600898957285,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
77,8,0.000231535077564251,6864,0.00114532156827185,15,0.00737038671592289,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
78,1,0.000290444379901249,0,0.007466230161435,12,0.00112258789676337,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
79,2,0.000281769512538743,1980,0.0113923647166253,13,0.00188965181303214,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
80,2,0.000318167356029271,498,0.0457631235046291,12,0.0020448632780342,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
81,6,0.000313971742543171,15964,0.00546254803697477,12,0.00526207935155026,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
82,1,0.000315756236185665,0,0.0372856097500459,12,0.00113630141141128,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
83,4,0.000208029956313709,2477,0.000244152807976524,16,0.00389571048395724,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
84,1,0.000281135788585887,0,0.01096636310848,13,0.00103384025464665,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
85,2,0.000238151940938319,994,0.000244887963962944,14,0.00207119476249489,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
86,2,0.000287438919229664,498,0.00506748091976815,12,0.00214809854500465,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
87,6,0.000376081233546446,2972,0.231511790188995,11,0.00563861350246861,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
88,3,0.000239980801535877,1490,0.000988199704152455,14,0.00295256396079135,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
89,6,0.000275709953129308,13416,0.00128195569199801,13,0.00516586050755184,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
90,3,0.000353481795687522,1983,0.0507480682741198,11,0.00279257295410968,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
91,3,0.000205634382068682,2966,4.90288303084756e-05,15,0.00289033750603227,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
92,1,0.000207598090097571,0,0.000217144526970241,16,0.00108310358856635,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
93,2,0.000300932891965092,994,0.00999409562062319,12,0.00203633839255806,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
94,2,0.000186741363211951,1488,9.67002156107794e-06,16,0.00203429070815623,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
95,3,0.000323310701584222,995,0.0528024766395554,12,0.00295017718188434,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
96,2,0.000329924117452986,994,0.060468171527841,12,0.00195578327376551,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
97,1,0.000246244767298695,0,0.00226801695437485,14,0.00108808951581232,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
98,1,0.000244917952485917,0,0.00173416013888801,14,0.00116271319960173,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
99,2,0.000353232073472271,1488,0.0489239104419356,11,0.00187883046941586,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
100,1,0.000271517784414879,0,0.00103565884237276,13,0.00104546124146982,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
101,1,0.000246244767298695,0,0.00226801695437485,14,0.00108808951581232,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
102,1,0.000302938503483793,0,0.0101638268717327,12,0.00105932286209639,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
103,1,0.000374391613627855,0,0.189592628817651,11,0.00100191182714989,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
104,1,0.000265181649429859,0,0.00272568909861177,13,0.00107285070720173,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
105,2,0.000316957210776545,498,0.0455295035221209,12,0.00211945765873449,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
106,1,0.000269469145782808,0,0.00119706436424628,13,0.00104028041152613,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
107,1,0.000322893122376493,0,0.0490064680584804,12,0.00101917517260997,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
108,1,0.00029146021568056,0,0.00752945481436203,12,0.00107250774321926,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
109,3,0.000323939099449304,2474,0.0529645652510847,12,0.00280213785191065,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
110,2,0.000290613193839,498,0.00744376426396821,12,0.00214060364619131,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
111,5,0.000282565696524442,4431,0.0128514094145529,13,0.00461311003851814,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
112,1,0.000287769784172662,0,0.00530512008021152,12,0.00110020889415271,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
113,1,0.000251445813427206,0,0.000960757029062134,13,0.00121294188162692,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
114,2,0.000374672161858374,498,0.196661705587231,11,0.00196776802684947,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
115,2,0.000254000508001016,498,0.0013565452736408,13,0.00223732086157242,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
116,5,0.000244319569997557,7819,0.000288797233043874,14,0.00438784805640812,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
117,3,0.000270782561603033,1490,0.00441924622631003,13,0.00294516380531141,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
118,3,0.000317158261972724,995,0.0453809648516959,12,0.00309301579878975,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
119,1,0.000244917952485917,0,0.00173416013888802,14,0.00116271319960173,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
120,3,0.000239865675221876,995,0.000986772685152784,14,0.003030090843011,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
121,1,0.00024770869457518,0,0.002436532494917,14,0.0010842287065479,500,499,1.996,24,7.54456913827655,0,18,0.004,-0.120280717850909,7.54456913827655,0,0
