node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,7,0.000678886625933469,1281.25306337007,0.20635283922939,5,0.00327330164617968,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
2,3,0.000634920634920635,28.2359061260377,0.136915156148912,5,0.00143400194570287,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
3,69,0.000884955752212389,45212.6644096389,1,4,0.0295084624434961,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
4,52,0.000847457627118644,33643.8126292779,0.691907101418539,4,0.0220991465260726,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
5,7,0.00067476383265857,1967.58318183107,0.183793500257417,5,0.00333175778072978,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
6,5,0.000630914826498423,1039.8064545695,0.123324070623819,5,0.00237188653501996,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
7,18,0.000707213578500707,4598.64330464629,0.278119923887008,5,0.00796449594983134,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
8,12,0.000670690811535882,4179.85748980309,0.162089764455869,5,0.00538712874444175,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
9,12,0.000648508430609598,3054.09620923865,0.171143909506511,5,0.0055160963451792,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
10,9,0.000570125427594071,1279.10236078283,0.062879922169929,5,0.00420674758321765,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
11,13,0.000714796283059328,4880.254049427,0.232819293217881,5,0.00581901491652139,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
12,20,0.000722543352601156,7161.79407312918,0.30208203880871,5,0.00872698417262829,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
13,14,0.000639795265515035,3755.63719881349,0.147971425139351,5,0.00642390576520223,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
14,21,0.000669792364367046,6248.96599794907,0.21083951233804,5,0.00927075194178084,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
15,19,0.000697836706210747,5257.87209135713,0.251870145649715,5,0.008209591309345,500,996,3.984,69,3.78517835671343,0.0279959030385797,7,0.00798396793587174,-0.0722244522650031,3.78517835671343,246,3
