node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,8,0.000452488687782805,72912,0.28191358229685,10,0.00654850252423402,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
2,9,0.000425170068027211,63948,0.0816710088964251,11,0.00749516031500629,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
3,11,0.00038550501156515,52631,0.0271023430170458,12,0.00899379681516391,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
4,25,0.000458295142071494,87244,1,10,0.020290434598786,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
5,15,0.000378787878787879,16299,0.1131972502192,11,0.013128905416736,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
6,8,0.000412881915772089,51840,0.28495870816064,11,0.00671236126334601,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
7,7,0.000328947368421053,12519,0.00670924179399322,13,0.00601759528907186,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
8,15,0.000363372093023256,37218,0.115606517170593,12,0.0127006863539356,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
9,5,0.000374812593703148,2971,0.222972930011867,11,0.00461743659487845,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
10,6,0.000379075056861259,10153,0.235087857012181,11,0.00523848056681382,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
11,6,0.000284738041002278,6360,0.00156264055938967,14,0.00546346778791157,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
12,5,0.000379362670713202,10650,0.227081320112841,11,0.0042679304828626,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
13,7,0.000372856077554064,6379,0.0692304709859285,11,0.00628491920992431,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
14,6,0.000376789751318764,6381,0.235409723289323,11,0.00532547407416219,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
15,3,0.00037397157816006,1490,0.205244596701551,11,0.00282863049906593,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
16,2,0.000352360817477097,2958,0.0162142083025809,12,0.00183866612346401,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
17,3,0.000370096225018505,1490,0.0578612395032066,11,0.00283897597089325,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
18,3,0.000320512820512821,3454,0.0467553917287761,12,0.0027446979736242,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
19,3,0.000373692077727952,995,0.204944656455757,11,0.00289364908622421,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
20,2,0.000373412994772218,498,0.197258353350865,11,0.00194892332893832,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
21,12,0.000359971202303816,17161,0.0266888399707795,12,0.0104399935059216,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
22,13,0.000350385423966363,15817,0.100322898911401,12,0.0113680784265736,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
23,3,0.000316455696202532,20826,0.024075988255716,13,0.00254704434448238,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
24,6,0.000308832612723904,2972,0.0268736608365748,13,0.00568057255915072,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
25,5,0.000374812593703148,2971,0.222972930011868,11,0.00461743659487845,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
26,13,0.000338983050847458,32295,0.0101748861303141,13,0.010907696107081,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
27,3,0.000319284802043423,1490,0.0232331239689642,12,0.00292342901803847,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
28,1,0.000373134328358209,0,0.190127747831521,11,0.00098987477635915,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
29,2,0.000318877551020408,498,0.0223291031820852,12,0.00203361457056569,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
30,8,0.000275027502750275,5417,0.00616305547568249,14,0.00733745121598038,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
31,4,0.000309214594928881,3947,0.0248119683788849,13,0.00364121393452863,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
32,1,0.000307692307692308,0,0.0219800067442911,13,0.00101970556005659,500,499,1.996,25,7.54696593186373,0,19,0.004,-0.1736899027081,7.54696593186373,0,0
