node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,7,0.00617,61.657,0.528,3,0.02718,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
2,6,0.00595,42.715,0.452,4,0.02312,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
3,8,0.00645,75.653,0.812,4,0.02983,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
4,3,0.00556,8.167,0.252,4,0.01294,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
5,6,0.00629,69.434,0.494,4,0.0234,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
6,6,0.00595,27.652,0.503,4,0.02283,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
7,5,0.00606,14.888,0.617,4,0.01887,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
8,9,0.00662,77.98,0.908,4,0.03245,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
9,6,0.00599,46.41,0.535,4,0.02454,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
10,5,0.00595,18.397,0.536,5,0.01896,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
11,2,0.00513,1.5,0.155,4,0.01004,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
12,5,0.00585,28.314,0.428,5,0.01964,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
13,10,0.00671,126.238,1,4,0.03606,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
14,6,0.00581,27.675,0.394,4,0.0234,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
15,2,0.00515,2.926,0.148,4,0.00987,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
16,5,0.00571,34.905,0.349,5,0.02108,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
17,7,0.00641,57.996,0.754,3,0.02612,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
18,3,0.00538,6.917,0.286,4,0.01352,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
19,3,0.00515,4.745,0.28,4,0.01354,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
20,5,0.00585,25.601,0.507,4,0.01982,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
21,4,0.00565,19.376,0.279,4,0.01656,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
22,7,0.00629,76.573,0.706,3,0.02838,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
23,5,0.00595,30.821,0.395,4,0.01977,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
24,5,0.00575,31.484,0.304,4,0.02038,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
25,5,0.00581,23.286,0.449,4,0.01966,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
26,1,0.00467,0,0.067,5,0.00669,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
27,6,0.0061,63.264,0.408,4,0.02475,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
28,7,0.00621,51.407,0.708,4,0.02642,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
29,5,0.00606,24.245,0.502,4,0.01947,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
30,3,0.00543,6.591,0.261,4,0.01327,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
31,3,0.00515,2.903,0.219,5,0.01301,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
32,4,0.00543,11.428,0.275,5,0.01651,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
33,5,0.00581,34.055,0.293,4,0.02066,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
34,1,0.00461,0,0.06,5,0.0069,50,125,5,10,2.545,0.131,5,0.102,0.029,2.545,81,3
