node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,16,0.000379794910748196,51431,0.23145299519239,10,0.0111049785440124,600,599,1.99666666666667,42,6.99462993878687,0,17,0.00333333333333333,-0.0720363884942426,6.99462993878687,0,0
2,42,0.000449438202247191,153701,1,9,0.0286334884925846,600,599,1.99666666666667,42,6.99462993878687,0,17,0.00333333333333333,-0.0720363884942426,6.99462993878687,0,0
3,11,0.000316355583676052,20207,0.0449370995497538,11,0.00791098630223365,600,599,1.99666666666667,42,6.99462993878687,0,17,0.00333333333333333,-0.0720363884942426,6.99462993878687,0,0
4,14,0.000376081233546446,44694,0.21297922162728,10,0.00974360307719959,600,599,1.99666666666667,42,6.99462993878687,0,17,0.00333333333333333,-0.0720363884942426,6.99462993878687,0,0
5,4,0.000355492356914326,2978,0.160151007460924,10,0.00308881678695883,600,599,1.99666666666667,42,6.99462993878687,0,17,0.00333333333333333,-0.0720363884942426,6.99462993878687,0,0
6,9,0.000398883127243718,77414,0.184912087925163,10,0.00607101750074663,600,599,1.99666666666667,42,6.99462993878687,0,17,0.00333333333333333,-0.0720363884942426,6.99462993878687,0,0
7,8,0.000369959304476508,33632,0.180274690923377,10,0.00556157824654418,600,599,1.99666666666667,42,6.99462993878687,0,17,0.00333333333333333,-0.0720363884942426,6.99462993878687,0,0
8,6,0.000311623558741041,6507,0.0389777696731805,11,0.00452932644207936,600,599,1.99666666666667,42,6.99462993878687,0,17,0.00333333333333333,-0.0720363884942426,6.99462993878687,0,0
9,11,0.000305343511450382,7692,0.0346744954013446,11,0.00842508551439279,600,599,1.99666666666667,42,6.99462993878687,0,17,0.00333333333333333,-0.0720363884942426,6.99462993878687,0,0
10,9,0.00037243947858473,38058,0.183073912660431,9,0.00631623420237568,600,599,1.99666666666667,42,6.99462993878687,0,17,0.00333333333333333,-0.0720363884942426,6.99462993878687,0,0
11,7,0.000310655483069276,18516,0.0318338649304743,10,0.0049557618310604,600,599,1.99666666666667,42,6.99462993878687,0,17,0.00333333333333333,-0.0720363884942426,6.99462993878687,0,0
