node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,48,0.000665335994677312,38568.3127938388,0.966976137884686,4,0.0172498863775898,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
2,54,0.000630119722747322,32721.4557256836,1,4,0.0194608180930798,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
3,14,0.000547645125958379,5778.42469536526,0.293420882484804,5,0.00530743729569441,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
4,20,0.000572409845449342,10748.1894462735,0.388094054760756,5,0.0072780338845931,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
5,37,0.000642260757867694,26756.2012403648,0.766085656658038,4,0.0132395004550468,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
6,13,0.000514668039114771,4167.5271080566,0.199914941473227,5,0.00489483910930599,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
7,19,0.000575043128234618,9426.91718519907,0.419318529864668,5,0.00671099742801442,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
8,11,0.000539956803455724,4406.90387574882,0.282211499860088,5,0.004164191360226,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
9,16,0.000534473543559594,5813.7947483413,0.259720748779593,5,0.00587816533734193,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
10,38,0.000609756097560976,21704.0947934247,0.616052819851853,5,0.0136806926278055,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
11,8,0.000510204081632653,3249.72701240477,0.167704287620102,5,0.00322236762938673,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
12,6,0.000511770726714432,1433.93093015139,0.220225389708916,5,0.0023568834245421,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
13,9,0.000535045478865704,3495.83017960486,0.207917096279461,5,0.00330700654276308,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
14,22,0.000566893424036281,11283.4443403046,0.32001078760232,5,0.00793095379011392,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
15,9,0.000503018108651912,3056.60893621693,0.150257752157724,5,0.00340223107851638,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
16,23,0.000540540540540541,10144.2078454997,0.259402581614492,5,0.00859487171783443,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
17,9,0.000520562207183758,2659.43560828456,0.208756739977644,5,0.00326171753075866,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
18,20,0.000550357732526142,9051.96224269115,0.330077311129393,5,0.00751596225348271,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
19,15,0.000531914893617021,5392.7013688138,0.251208701540458,5,0.00561105618201749,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
20,11,0.000533902829684997,5226.80896563458,0.184906227536046,5,0.00413271974235405,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
21,8,0.000508130081300813,1496.74533890605,0.208229241900995,5,0.00296415896751152,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
22,15,0.000529380624669137,6561.60460154244,0.171855771381208,5,0.0056263488226968,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
23,21,0.000508646998982706,8125.30549016224,0.156473095523803,5,0.00785096306731146,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
24,7,0.000509164969450102,2439.82933413014,0.168295813841407,5,0.00273335826704862,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
25,4,0.000465549348230912,882.882683868954,0.0716057443096992,5,0.00153993686280716,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
26,12,0.000538213132400431,4766.292197874,0.251661942830432,5,0.00450710567122978,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
27,7,0.000482858522452921,940.031021212931,0.18796685810514,5,0.00271393441557346,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
28,6,0.000488519785051295,1790.87115361276,0.139435371410366,5,0.00237856100867255,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
29,22,0.000531914893617021,8567.75890566317,0.181315881387041,5,0.00819768718513263,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
30,6,0.000496277915632754,1721.70411344056,0.150212682004617,5,0.00237133825197286,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
31,15,0.000502765208647562,5385.55699637592,0.112529581999403,5,0.00565021970345512,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
32,17,0.000578703703703704,11058.0308852479,0.299997303658918,5,0.00617035964793506,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
33,3,0.000470145745181006,267.007821801596,0.132191557824032,5,0.00124753788116773,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
34,5,0.000451263537906137,958.662617153104,0.0498291908071118,6,0.00199802195487536,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
35,8,0.000455373406193078,1579.2698441518,0.0604900715495655,6,0.00312080445233293,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
36,8,0.000478240076518412,1451.39562466503,0.131945967273514,6,0.00306307077049736,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
37,5,0.000472366556447804,1191.63833168326,0.0787646344451136,6,0.00203851700096322,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
38,4,0.000476417341591234,895.73061797995,0.104616985555918,5,0.00157993808938966,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
39,4,0.000486381322957198,587.866907139701,0.140631937320162,5,0.00161475818892702,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
40,8,0.000463606861381548,1949.20245602287,0.07894292635518,6,0.00292716775391787,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
41,7,0.000480076812289966,1253.87277881413,0.120191052366577,5,0.00272549030847705,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
42,7,0.000421407501053519,996.223034113811,0.0277267367403413,6,0.00280284513688434,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
43,21,0.000535618639528656,8860.48363322321,0.165696409574071,5,0.00783645575609983,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
44,4,0.00043122035360069,575.11754006839,0.0419630605785396,6,0.00161931158817304,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
45,17,0.000494071146245059,5954.26295855517,0.10251575675164,6,0.00669946043460621,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
46,2,0.00046189376443418,117.891074693281,0.0944422014058195,6,0.00086829302653675,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
47,18,0.000497760079641613,6188.75914996826,0.129669606682029,5,0.00671380225490605,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
48,5,0.000485201358563804,1186.28287630343,0.0945352281051933,6,0.00194933837958851,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
49,5,0.000501504513540622,1419.65734908474,0.147574761858903,5,0.00199161833032061,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
50,24,0.000521376433785193,10278.5291926474,0.204229154345862,5,0.00912489336389939,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
51,4,0.000505305709954523,940.84523058163,0.144477940330745,5,0.00162190233352527,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
52,3,0.0004516711833785,559.866753262367,0.0504042822133095,6,0.00131118570027967,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
53,10,0.000443852640923213,1755.91852398205,0.0527503234379753,6,0.00393503241092394,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
54,9,0.000503778337531486,2363.06126589095,0.174161384248961,5,0.00349306969960516,600,1196,3.98666666666667,54,3.92141903171953,0.0175091502621426,7,0.00665553700612131,-0.117690790971056,3.92141903171953,177,3
