node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,10,0.000262605042016807,185035,0.260964532498808,12,0.00510403715362997,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
2,11,0.000246184145741014,158532,0.0678617171945081,13,0.0057363117495033,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
3,11,0.000224215246636771,132455,0.0178737733250058,14,0.00543849503473408,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
4,31,0.000267665952890792,227498,1,11,0.015591038686624,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
5,21,0.000222419928825623,42265,0.117086703711904,13,0.0112556883270577,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
6,8,0.00024330900243309,134820,0.236644243437644,12,0.00405024177654199,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
7,8,0.000192901234567901,28665,0.00395803271746464,15,0.00421030846435026,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
8,17,0.000216731686172518,103168,0.0826589196654346,13,0.00878321799290409,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
9,6,0.000221434898139947,7140,0.203429868801504,12,0.00340291137281717,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
10,8,0.000223613595706619,24089,0.220239813410602,12,0.00432697593320061,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
11,7,0.000168123739071957,13374,0.000834586186271534,16,0.00392200426261972,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
12,6,0.000224719101123596,32329,0.206887375209144,12,0.00315176915689196,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
13,7,0.000219202104340202,17279,0.0555740137012541,13,0.00376971874213494,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
14,7,0.000223313979455114,21880,0.213354466984874,12,0.00369598763018243,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
15,3,0.000221238938053097,5556,0.1842642139986,12,0.00168204148464721,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
16,2,0.000206355757325629,5544,0.0121249267811834,14,0.00114619377859235,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
17,3,0.000217580504786771,3974,0.0479900314962672,13,0.00173552862438995,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
18,4,0.000191791331031837,13370,0.0394799831609629,13,0.00217751762015833,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
19,3,0.000220848056537102,2390,0.183503349029713,12,0.0017614531090246,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
20,2,0.00022075055187638,1594,0.17787527673238,12,0.00117926485530447,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
21,15,0.000210526315789474,42117,0.0207019135730787,14,0.00802172107750732,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
22,15,0.000207641196013289,35481,0.0730821544274225,13,0.00806637333064227,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
23,5,0.000190258751902588,57394,0.0163535240640331,14,0.00264894604176734,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
24,8,0.000185528756957328,8718,0.0180826095862772,14,0.00455854113650121,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
25,6,0.000221336874723329,6353,0.203183877531273,12,0.00341347655034468,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
26,13,0.000198649185538339,81650,0.00514377009385557,15,0.00660075683599282,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
27,3,0.00018910741301059,2390,0.0214858022579842,14,0.00181067993712221,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
28,1,0.000220555800617556,0,0.17242494025056,12,0.00061499622205288,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
29,3,0.00018910741301059,2390,0.0214858022579842,14,0.00181067993712221,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
30,8,0.000166057788110262,12626,0.00359165023486854,15,0.00448568640000005,800,799,1.9975,31,8.19421151439299,0,22,0.0025,-0.133557181641569,8.19421151439299,0,0
