node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,13,0.000463821892393321,254.259982473564,0.331426249433958,4,0.000888329503095082,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
2,21,0.000487329434697856,668.177474522446,0.539901067644852,3,0.00131871245582901,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
3,13,0.000460617227084293,268.717483619129,0.305280167277853,4,0.000897792415022313,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
4,17,0.000473484848484848,455.778707887056,0.412936719828609,3,0.00111078087095946,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
5,17,0.000478927203065134,452.387570636373,0.459591166780285,4,0.001098636275154,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
6,22,0.000492853622474125,740.084685974237,0.589976828877449,3,0.00136718773000714,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
7,18,0.000482625482625483,526.599031002457,0.480474920708925,3,0.00115547220078627,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
8,25,0.000511247443762781,950.767710134269,0.690936985953009,3,0.0015139152668201,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
9,21,0.000483792936623125,671.941528440652,0.519367249558253,3,0.00132288392779022,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
10,19,0.000474608448030375,596.549286040296,0.434693458333061,3,0.00122776510893729,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
11,25,0.00050125313283208,891.059164420403,0.671651890593858,3,0.00151876171570313,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
12,22,0.000490196078431373,786.318832314378,0.542641770319356,3,0.00138235554900321,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
13,15,0.000468384074941452,325.19543859744,0.383236884634552,4,0.000995475040548392,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
14,23,0.000500250125062531,769.295016707967,0.642852532343605,3,0.00140404222692085,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
15,20,0.00048780487804878,596.490637156933,0.534656257228866,4,0.00125832528937622,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
16,18,0.000482625482625483,508.068123692999,0.456682158874563,3,0.0011546123760491,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
17,25,0.000503018108651912,927.356231200342,0.690314300258989,3,0.00151795602471655,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
18,15,0.000470588235294118,372.165662627961,0.383470029365308,3,0.000996720940325905,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
19,22,0.000495785820525533,753.052106984161,0.580873435308328,3,0.00136458172787132,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
20,28,0.000513347022587269,1220.29888293061,0.755473154735099,3,0.00168754401315072,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
21,24,0.000499750124937531,887.284664972225,0.617816670094764,3,0.00147677994595098,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
22,26,0.000503018108651912,1035.5800613975,0.66997223027951,3,0.00158471614105915,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
23,28,0.000513610683102209,1075.98817790058,0.804783699770836,3,0.00166988261088811,800,7940,19.85,35,2.57076658322904,0.0244788326359036,4,0.0248435544430538,-0.000696888191494496,2.57076658322904,3855,3
