node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,40,0.000607164541590771,416.264002964268,0.654951578289684,3,0.00124607364453833,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
2,50,0.000624219725343321,640.564606800728,0.832309049136388,3,0.00150833263897624,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
3,45,0.000616903146206046,551.500296593559,0.728434605280816,3,0.00138077563104801,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
4,49,0.000618046971569839,668.014131771977,0.762916985852508,3,0.00149461019851294,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
5,40,0.000606796116504854,413.046009120793,0.658430589503834,3,0.00124566729460744,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
6,41,0.000602046959662854,468.8120022864,0.64143595933595,3,0.00128056495445134,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
7,38,0.000596302921884317,354.416548390231,0.640028259706581,3,0.00119095188841425,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
8,41,0.000611995104039168,419.820540245368,0.688686138189455,3,0.00126943425634644,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
9,45,0.000613496932515337,530.652686668046,0.730657516286675,3,0.00138294794002895,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
10,44,0.000617283950617284,494.481695980731,0.720088347561464,3,0.00135161753502803,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
11,46,0.000617665225447807,518.059947347079,0.767514317224646,3,0.00140056428150249,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
12,32,0.000583090379008746,259.548293846116,0.521298548541582,3,0.00103656572247006,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
13,43,0.000613873542050338,483.096897781919,0.714441358693543,3,0.00132502008711182,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
14,36,0.000598086124401914,341.065330129625,0.585672091312173,3,0.00114107749658315,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
15,34,0.00058343057176196,295.999842325541,0.542322137817429,3,0.00109189943914613,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
16,29,0.000578703703703704,221.314333087985,0.478769704887414,3,0.000955107526124385,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
17,41,0.000606796116504854,420.115192925393,0.686899428441267,3,0.0012697891423919,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
18,33,0.000587199060481503,290.728021688866,0.532381561787689,3,0.00106309650381507,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
19,28,0.000577367205542725,208.980443074494,0.462870623568473,3,0.000927828249232649,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
20,48,0.000619195046439628,585.617440604021,0.789539737912399,3,0.0014580190702327,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
21,37,0.000598086124401914,330.937485181578,0.628154703528469,3,0.00116152711926441,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
22,39,0.000596658711217184,406.275249933611,0.627914189676125,3,0.00122240288130669,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
23,34,0.000587544065804935,297.212304843676,0.551683208898509,3,0.0010893677680263,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
24,52,0.000622277535780958,695.353196116118,0.848489813058982,3,0.0015639428552855,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
25,34,0.000591366055588409,335.547830600355,0.533567835738374,3,0.00109400489446248,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
26,52,0.000623052959501558,698.857477868021,0.84715170756654,3,0.00156464130649858,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
27,41,0.000611995104039168,392.872864071609,0.71669302650714,3,0.00126323422958326,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
28,34,0.000582072176949942,333.95579005403,0.517804611545101,3,0.00109857720610066,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
29,40,0.00061012812690665,407.302476587667,0.6748265271689,3,0.00124254923547127,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
30,35,0.000584453535943892,316.528831701029,0.56280107472777,3,0.00111731746416823,800,16043,40.1075,60,2.07712140175219,0.049508092668994,3,0.0501971214017522,0.00215529040438066,2.07712140175219,31824,3
