name,degree,betweenness,closeness,eigenvalue,coreness,pagerank,ci,a_degree,a_betweenness,a_closeness,a_eigenvalue,a_coreness,a_pagerank,a_ci
name,1,-0.36,-0.28,-0.21,-0.14,-0.16,-0.38,-0.31,0.45,0.45,0.45,0.45,0.45,0.27,0.27
degree,-0.36,1,0.69,0.35,0.47,0.68,0.96,0.88,-0.44,-0.44,-0.44,-0.44,-0.44,-0.79,-0.68
betweenness,-0.28,0.69,1,0.43,0.19,0.19,0.75,0.79,-0.39,-0.39,-0.39,-0.39,-0.39,-0.77,-0.66
closeness,-0.21,0.35,0.43,1,0.26,0.09,0.37,0.49,-0.2,-0.2,-0.2,-0.2,-0.2,-0.36,-0.33
eigenvalue,-0.14,0.47,0.19,0.26,1,0.42,0.36,0.59,-0.2,-0.2,-0.2,-0.2,-0.2,-0.39,-0.32
coreness,-0.16,0.68,0.19,0.09,0.42,1,0.53,0.46,-0.12,-0.12,-0.12,-0.12,-0.12,-0.28,-0.24
pagerank,-0.38,0.96,0.75,0.37,0.36,0.53,1,0.86,-0.47,-0.47,-0.47,-0.47,-0.47,-0.8,-0.68
ci,-0.31,0.88,0.79,0.49,0.59,0.46,0.86,1,-0.44,-0.44,-0.44,-0.44,-0.44,-0.85,-0.72
a_degree,0.45,-0.44,-0.39,-0.2,-0.2,-0.12,-0.47,-0.44,1,1,1,1,1,0.39,0.4
a_betweenness,0.45,-0.44,-0.39,-0.2,-0.2,-0.12,-0.47,-0.44,1,1,1,1,1,0.39,0.4
a_closeness,0.45,-0.44,-0.39,-0.2,-0.2,-0.12,-0.47,-0.44,1,1,1,1,1,0.39,0.4
a_eigenvalue,0.45,-0.44,-0.39,-0.2,-0.2,-0.12,-0.47,-0.44,1,1,1,1,1,0.39,0.4
a_coreness,0.45,-0.44,-0.39,-0.2,-0.2,-0.12,-0.47,-0.44,1,1,1,1,1,0.39,0.4
a_pagerank,0.27,-0.79,-0.77,-0.36,-0.39,-0.28,-0.8,-0.85,0.39,0.39,0.39,0.39,0.39,1,0.72
a_ci,0.27,-0.68,-0.66,-0.33,-0.32,-0.24,-0.68,-0.72,0.4,0.4,0.4,0.4,0.4,0.72,1
